Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES TREATED MALE ,TOTAL CASES TREATED FEMALE,TOTAL CASES TREATED ,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Teso,Bukedea District,20,22,42,15176,7287,22463,21750,7838,29588,7600,5362,12962,10079,8688,18767,18,22,40,14965,7083,22048,20985,7445,28430,9449,8539,17988,7390,5161,12551,81057,18,22,40,15133,6969,22102,20451,7287,27738,9310,8427,17737,7263,5064,12327,942,3048,3990,27769,52175,79944,54625,29197,83822,10099,8710,18809,1032,248003.4467,240.3134173,1.3557,34.1087,2020,326.8381995,240.3134173
Bukedi,Bukedi,113,78,191,71366,42067,113433,110839,48735,159574,45876,36016,81892,65670,58302,123972,109,72,181,69005,40651,109656,105062,46650,151712,63116,56003,119119,44541,35106,79647,460315,106,235,341,67953,40076,108029,103131,45797,148928,61990,55136,117126,43866,34619,78485,2520,4560,7080,175863,277046,452909,293864,185198,479062,65783,58380,124163,4504,2162302.077,480.0848305,0,0,2020,212.8819118,480.0848306
South Central,Bukomansimbi District,4,5,9,4203,3456,7659,4857,2896,7753,2907,2688,5595,2981,3001,5982,4,5,9,4180,3440,7620,4797,2879,7676,2941,2973,5914,2892,2677,5569,26788,4,4,8,4173,3442,7615,4773,2867,7640,2935,2966,5901,2891,2714,5605,102,367,469,11993,14776,26769,14952,12046,26998,2985,3006,5991,600,177621.3751,296.0356251,0.1433,31.6055,2020,150.8151819,296.0356252
Bugisu,Bukwo District,3,0,3,1299,895,2194,3734,1923,5657,497,438,935,766,593,1359,0,0,0,550,547,1097,1145,1035,2180,255,235,490,289,274,563,4330,0,0,0,526,529,1055,1084,985,2069,235,211,446,263,252,515,27,52,79,1977,2108,4085,6299,3849,10148,769,593,1362,525,103632.5039,197.3952454,1.2819,34.7299,2020,41.78225785,197.3952455
Bugisu,Bulambuli District,5,2,7,5887,3962,9849,10857,5951,16808,3100,2489,5589,3684,3541,7225,3,2,5,5241,3526,8767,9540,5299,14839,3273,3224,6497,2836,2253,5089,35197,3,2,5,5199,3561,8760,9317,5185,14502,3179,3189,6368,2799,2252,5051,329,700,1029,14189,20497,34686,23533,15945,39478,3689,3543,7232,695,208835.8364,300.4832179,1.4815,34.2866,2020,168.5390813,300.4832178
Bunyoro,Buliisa District,4,3,7,12271,6924,19195,13394,6622,20016,8251,6701,14952,12458,11517,23975,4,3,7,12186,6887,19073,13082,6351,19433,12355,11338,23693,8184,6655,14839,77045,4,1,5,11616,6699,18315,12802,6476,19278,11682,10782,22464,7839,6420,14259,798,1911,2709,30378,43943,74321,46378,31767,78145,12462,11520,23982,1367,143383.711,104.8893277,1.8992,31.3542,2020,537.3343978,104.8893277
Tooro,Bundibugyo District,16,27,43,12840,7801,20641,24092,12405,36497,8566,6676,15242,10019,8935,18954,16,25,41,12599,7696,20295,23560,12274,35834,9830,8760,18590,8385,6536,14921,89681,16,24,40,12633,7702,20335,23855,12372,36227,9927,8795,18722,8436,6573,15009,593,1234,1827,35466,54867,90333,55533,35844,91377,10035,8962,18997,850,247815.3567,291.5474784,0.6852,0,2020,361.8863705,291.5474785
Tooro,Bunyangabu District,9,1,10,3582,3016,6598,5607,4020,9627,1860,1647,3507,1932,9345,11277,10,0,10,3379,2862,6241,5085,3645,8730,1801,1644,3445,1782,1558,3340,21766,10,0,10,3227,2706,5933,4920,3519,8439,1736,38571,40307,1703,1504,3207,67,184,251,46300,11596,57896,12990,18029,31019,1941,9346,11287,466,198021.5857,424.939025,0.4871,30.2051,2020,109.9173099,424.9390251
Bunyoro,Bunyoro,132,95,227,111157,74629,185786,264675,79882,344557,64130,51822,115952,85601,79011,164612,124,91,215,105126,70639,175765,131093,72832,203925,81232,74857,156089,60962,49479,110441,646435,122,83,205,104442,69650,174092,132416,75811,208227,80359,74404,154763,173818,48991,222809,6552,15774,22326,268939,491157,760096,525695,285439,811134,85733,79106,164839,16580,2457488.054,148.2200274,0,0,2020,263.0470569,148.2200274
Ankole,Bushenyi District,0,2,2,4317,3932,8249,5546,4119,9665,1788,1573,3361,1247,1294,2541,0,2,2,4216,3822,8038,5008,3657,8665,1199,1246,2445,1735,1508,3243,22393,0,2,2,3973,3591,7564,4682,3399,8081,1121,1118,2239,1626,1412,3038,54,190,244,9522,11402,20924,12898,10920,23818,1247,1296,2543,845,262692.3706,310.8785451,0.4875,30.1127,2020,85.24419628,310.8785451
