Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE Â° N),CORDINATES (LONGITUDE Â° E),Year,Incidence_Rate,POPULATION DENSITY
Bugisu,Manafwa District,2,2,4,7426,5731,13157,12106,8002,20108,5490,5066,10556,9139,7911,17050,18,2,20,7307,5595,12902,11755,7659,19414,8974,7773,16747,5384,4895,10279,59362,2,2,4,7097,5398,12495,11428,7357,18785,8678,25727,34405,5142,4602,9744,896,1459,2355,34163,26712,60875,9141,7913,17054,237,178761.0267,754.2659352,0,0,2022,332.0746199,754.2659354
West Nile,Maracha District,2,3,5,31883,18068,49951,32149,9970,42119,18232,13341,31573,15428,13973,29401,2,4,6,31762,18022,49784,31905,9924,41829,15272,13933,29205,18202,13299,31501,152325,2,3,5,31149,17661,48810,31789,9726,41515,15056,41547,56603,17842,13025,30867,1816,4033,5849,97694,55355,153049,15430,13976,29406,440,224074.9857,509.2613311,3.2873,30.9403,2022,679.794755,509.2613311
South Central,Masaka City,8,3,11,4573,4652,9225,6993,5366,12359,2809,2613,5422,2669,2620,5289,8,3,11,4523,4594,9117,6567,5190,11757,2584,2497,5081,2767,2592,5359,31325,8,3,11,4510,4587,9097,6604,5210,11814,2577,10958,13535,2747,2579,5326,150,523,673,17052,15254,32306,2677,2623,5300,340,275406.0131,810.0176857,0.3427,31.7369,2022,113.7411622,810.0176856
South Central,Masaka District,4,5,9,4425,4166,8591,4590,3225,7815,2250,2202,4452,1755,1723,3478,4,5,9,4432,4200,8632,4611,3202,7813,1764,1708,3472,2296,2205,4501,24427,4,5,9,4427,4194,8621,4611,3202,7813,1756,7176,8932,2304,2202,4506,73,293,366,13024,11321,24345,1759,1728,3487,855,113632.5676,132.9035878,0.4464,31.9018,2022,214.9647809,132.9035878
Bunyoro,Masindi District,10,12,22,12737,9900,22637,15627,10695,26322,7706,6837,14543,9695,9251,18946,7,11,18,11768,9102,20870,14052,9282,23334,8861,8236,17097,7209,6341,13550,74869,7,11,18,12062,9435,21497,14589,9420,24009,9411,29403,38814,7438,6594,14032,446,956,1402,45775,36695,82470,9705,9263,18968,3891,331648.2416,85.23470615,1.6873,31.7138,2022,225.7482194,85.23470614
Busoga,Mayuge District,40,12,52,26674,13696,40370,48146,18442,66588,17235,12945,30180,24491,21347,45838,40,11,51,26500,13615,40115,47538,18298,65836,24361,21202,45563,17190,12957,30147,181712,39,11,50,26165,13769,39934,46965,17950,64915,24188,69107,93295,17209,12788,29997,2508,4918,7426,116586,66442,183028,24531,21359,45890,1075,555003.3397,516.2821764,0.3125,33.528,2022,327.4070388,516.2821765
Bugisu,Mbale City,44,29,73,12691,12028,24719,28047,14528,42575,6915,5856,12771,10262,8837,19099,38,71,109,12101,7695,19796,25740,13489,39229,9884,8575,18459,6494,8522,15016,92609,48,22,70,12086,7714,19800,25592,13510,39102,9785,34836,44621,6426,5640,12066,652,1446,2098,57959,41278,99237,10306,8866,19172,156,285490.4639,1830.067076,1.0871,34.1781,2022,324.385616,1830.067076
Bugisu,Mbale District,60,24,84,14132,9460,23592,21724,10665,32389,8240,6543,14783,12161,10291,22452,48,17,65,13857,9273,23130,21383,10472,31855,11911,10070,21981,8065,6452,14517,91548,49,17,66,13654,9177,22831,21104,10377,31481,11804,35494,47298,7949,9139,17088,821,1592,2413,56317,36983,93300,12221,10315,22536,360,275263.949,764.6220806,1.0344,34.1977,2022,332.5826006,764.6220806
Ankole,Mbarara City,9,5,14,1426,1239,2665,3467,3011,6478,830,755,1585,934,1013,1947,1,2,3,1191,1046,2237,2874,2557,5431,812,861,1673,692,620,1312,10656,1,2,3,1103,972,2075,2613,2400,5013,765,4249,5014,642,584,1226,35,150,185,6666,6023,12689,943,1018,1961,471,249828.1824,530.4207695,0.6121,0,2022,42.65331436,530.4207694
Ankole,Mbarara District,17,9,26,3016,3020,6036,4327,2744,7071,1496,1372,2868,1474,1366,2840,13,2,15,2852,2874,5726,3863,2519,6382,1371,1263,2634,1431,1306,2737,17494,3,2,5,2708,2693,5401,3680,2416,6096,1288,5424,6712,1362,1241,2603,32,145,177,10330,8511,18841,1491,1375,2866,773,167993.0842,217.3261115,0.6121,30.6373,2022,104.1352392,217.3261115
