Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE Â° N),CORDINATES (LONGITUDE Â° E),Year,Incidence_Rate,POPULATION DENSITY
Kampala,Kampala,707,659,1366,23499,19083,42582,62017,52319,114336,16314,15567,31881,20008,19255,39263,263,228,491,15280,12683,27963,37183,32677,69860,12461,12077,24538,10551,9820,20371,143223,297,249,546,14883,12338,27221,145352,586603,731955,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,28743,19914,48657,195,1705087.479,8744.038353,0.3152,32.5816,2021,83.99744985,8744.038354
Kampala,Kampala District,707,659,1366,23499,19083,42582,62017,52319,114336,16314,15567,31881,20008,19255,39263,263,228,491,15280,12683,27963,37183,32677,69860,12461,12077,24538,10551,9820,20371,143223,297,249,546,14883,12338,27221,145352,586603,731955,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,28743,19914,48657,195,1705087.479,8744.038353,0.3152,32.5816,2021,83.99744985,8744.038354
Busoga,Kamuli District,33,9,42,42587,23236,65823,73779,34521,108300,26376,19245,45621,50512,41748,92260,30,9,39,41998,22829,64827,72275,33746,106021,49326,40781,90107,25972,18905,44877,305871,30,9,39,40923,22280,63203,396452,957397,1353849,47711,39696,87407,25316,18326,43642,4123,7284,11407,193287,118759,312046,48393,41757,90150,1515,523472.4615,345.5263772,0.9187,33.1239,2021,584.3115398,345.5263772
Tooro,Kamwenge District,99,146,245,24444,15246,39690,32876,16030,48906,12581,9555,22136,16332,14914,31246,99,75,174,23487,14848,38335,31037,15421,46458,15914,14414,30328,12279,9292,21571,136866,95,80,175,22636,14382,37018,178184,409036,587220,15064,13762,28826,11809,8865,20674,713,2349,3062,86332,55891,142223,19466,15060,34526,1695,315662.2279,186.2314029,0.2903,30.574,2021,433.5837104,186.2314029
Kigezi,Kanungu District,8,8,16,10267,8108,18375,14192,8964,23156,4285,3520,7805,4341,3761,8102,11,5,16,9841,7761,17602,13411,8508,21919,4192,3648,7840,4161,3409,7570,54947,11,5,16,9995,7855,17850,66552,152272,218824,4186,3673,7859,4161,3433,7594,156,516,672,33093,24361,57454,5114,3769,8883,1275,291412.7654,228.5590317,0.8195,0,2021,188.5538539,228.5590317
Bugisu,Kapchorwa District,4,3,7,913,830,1743,2017,1445,3462,478,424,902,429,399,828,4,3,7,853,800,1653,1860,1380,3240,405,376,781,456,411,867,6548,4,3,7,844,793,1637,6584,17645,24229,400,369,769,452,409,861,9,27,36,3841,3101,6942,429,402,831,212,124365.4325,586.6293984,1.3514,34.3754,2021,52.65128636,586.6293986
Teso,Kapelebyong District,11,9,20,10159,4269,14428,12033,4024,16057,3753,2573,6326,2903,2571,5474,11,9,20,10119,4257,14376,12020,4001,16021,2890,2561,5451,3734,2557,6291,42159,11,9,20,10144,4257,14401,52326,118867,171193,2891,2556,5447,3734,2557,6291,638,1133,1771,28859,13446,42305,7239,2580,9819,1203,123763.9238,102.8794047,2.211,33.7518,2021,340.6404605,102.8794047
Karamoja,Karamoja,356,287,643,58185,34250,92435,96868,46516,143384,40584,32024,72608,114916,103483,218399,140,129,269,55677,32623,88300,88970,42640,131610,110343,99546,209889,39328,30923,70251,500319,140,132,272,55293,32561,87854,736532,1757434,2493966,109376,98718,208094,39059,30783,69842,2879,7301,10180,310909,216560,527469,126264,103770,230034,27407,1311702.767,47.8601367,2.8309,34.1532,2021,381.4271134,47.86013672
Karamoja,Karenga District,5,1,6,4931,2811,7742,7468,3102,10570,2326,1728,4054,5220,5244,10464,5,1,6,4890,2759,7649,7740,3031,10771,5082,5064,10146,2283,1893,4176,32748,5,1,6,4882,2756,7638,43932,101056,144988,5091,5077,10168,2291,1798,4089,252,692,944,19950,12886,32836,4982,5245,10227,25702,82035.68843,3.191801744,3.5691,33.6931,2021,399.1921154,3.191801744
Tooro,Kasese District,112,70,182,32850,27984,60834,50210,32629,82839,14747,12983,27730,15789,14368,30157,99,58,157,31062,26771,57833,46013,31676,77689,14561,13197,27758,13940,12242,26182,189619,99,58,157,30287,26017,56304,220802,526402,747204,14055,12798,26853,13433,11841,25274,665,1236,1901,113708,88034,201742,14862,14438,29300,2795,802700.156,287.191469,0.1699,0,2021,236.2264397,287.1914691
North Central,Kassanda District,13,12,25,7820,5728,13548,13257,7436,20693,5060,4300,9360,6004,5449,11453,7,6,13,7593,5737,13330,12967,7307,20274,5715,5335,11050,4960,4271,9231,53898,7,6,13,7338,5523,12861,66310,162215,228525,5563,5167,10730,4745,4098,8843,685,1964,2649,32154,22925,55079,7613,5461,13074,1819,300614.9413,165.263849,0.5761,31.7195,2021,179.2924855,165.263849
Teso,Katakwi District,7,4,11,26263,13275,39538,28535,12909,41444,13571,10264,23835,15045,13699,28744,7,4,11,26151,13261,39412,28499,12793,41292,15038,13693,28731,13558,10246,23804,133250,7,4,11,25727,13062,38789,182670,399668,582338,14454,13151,27605,13241,10396,23637,2186,4990,7176,83421,50151,133572,15688,13703,29391,2306,211395.4934,91.67193991,1.9142,33.9583,2021,630.3351025,91.6719399
North Central,Kayunga District,16,19,35,14895,9052,23947,22324,11875,34199,8105,6515,14620,12079,11362,23441,16,39,55,14765,8985,23750,22190,11839,34029,11958,11266,23224,8039,6457,14496,95554,16,18,34,14617,8858,23475,122458,297637,420095,11770,11136,22906,7927,6394,14321,1156,2546,3702,57419,38823,96242,23295,11381,34676,1596,416507.3038,260.9694886,0.7014,32.9029,2021,229.4173455,260.9694886
Ankole,Kazo District,49,38,87,10388,7994,18382,13221,7927,21148,4858,4032,8890,3095,2785,5880,38,28,66,9915,7719,17634,12137,7513,19650,2911,2635,5546,4630,3856,8486,51382,32,23,55,9545,7394,16939,62052,140515,202567,2783,2522,5305,4446,3700,8146,147,721,868,31611,22776,54387,3103,2823,5926,1558,198785.9659,127.5904787,0.3576,32.5571,2021,258.4790117,127.5904788
Bunyoro,Kibaale District,25,19,44,4076,2685,6761,6224,3755,9979,1949,1596,3545,3287,3017,6304,14,8,22,3807,2450,6257,5692,3316,9008,3094,2853,5947,1788,1445,3233,24467,15,9,24,3777,2419,6196,30800,79605,110405,3047,2750,5797,1785,1428,3213,433,1168,1601,15561,11072,26633,5117,3036,8153,1153,203175.7842,176.2149039,0.8088,31.0335,2021,120.4228156,176.2149039
North Central,Kiboga District,1,5,6,6139,12661,18800,10088,6987,17075,3609,3318,6927,4347,4339,8686,1,5,6,6037,5343,11380,9624,6693,16317,4116,4003,8119,3528,3241,6769,42591,1,5,6,5928,5186,11114,52016,139397,191413,4048,3961,8009,3487,3168,6655,182,569,751,24184,27310,51494,5579,4344,9923,1586,171952.8458,108.4191966,0.8658,31.9473,2021,247.6899978,108.4191966
Bukedi,Kibuku District,11,8,19,17881,8034,25915,25790,6332,32122,15276,11754,27030,20530,17616,38146,6,7,13,17692,7901,25593,25612,6203,31815,20353,17538,37891,15144,11629,26773,122085,6,7,13,17663,7913,25576,180506,383109,563615,20353,17571,37924,15122,11608,26730,804,1693,2497,79488,43744,123232,2343,17624,19967,484,234155.4018,483.7921524,1.0453,33.7993,2021,521.3845124,483.7921525
Kigezi,Kigezi,13,11,24,19288,15942,35230,29039,21666,50705,8115,6865,14980,8689,7795,16484,15,23,38,18387,15306,33693,26805,20551,47356,8125,7292,15417,7794,6604,14398,110902,15,7,22,18373,15220,33593,126860,306847,433707,8006,7240,15246,7688,6544,14232,285,1020,1305,65144,52279,117423,10435,7806,18241,4993,1652666.709,330.9967373,0.2667,31.6167,2021,67.10487928,330.9967372
Bunyoro,Kikuube District,62,58,120,22353,12354,34707,29327,14253,43580,16077,9477,25554,22792,19192,41984,55,57,112,20465,11641,32106,27617,12844,40461,18931,17965,36896,10763,8887,19650,129225,67,58,125,21376,45502,66878,247098,438844,685942,19632,18604,38236,11310,9400,20710,1247,3321,4568,90611,55334,145945,19926,19250,39176,2098,341712.6926,162.8754493,1.2375,30.9876,2021,378.1685691,162.8754493
Ankole,Kiruhura District,0,0,0,4365,4222,8587,6052,4458,10510,2083,2089,4172,1694,1782,3476,0,0,0,4365,4222,8587,6052,4452,10504,1692,1776,3468,2083,2089,4172,26731,2,2,4,4361,4218,8579,32446,70862,103308,1681,1759,3440,2072,2079,4151,50,259,309,14194,12551,26745,1572,1782,3354,3003,186084.8451,61.96631537,0.322,30.8039,2021,143.6495271,61.96631538
Bunyoro,Kiryandongo District,69,15,84,12908,9509,22417,13449,6569,20018,6414,5215,11629,10613,9268,19881,14,12,26,12359,9254,21613,12902,6240,19142,9686,8837,18523,6129,4983,11112,70416,15,12,27,12046,8970,21016,101356,231861,333217,9486,8803,18289,6228,5104,11332,1318,2531,3849,43453,30576,74029,16863,9283,26146,3582,331939.7962,92.66884317,2.018,32.0837,2021,212.1348534,92.66884316
Kigezi,Kisoro District,1,1,2,517,605,1122,1718,1751,3469,254,213,467,430,405,835,1,0,1,410,532,942,1336,1554,2890,269,265,534,218,187,405,4772,1,0,1,404,523,927,3734,14683,18417,267,262,529,216,183,399,2,23,25,2920,2975,5895,987,406,1393,690,381016.9748,552.1985142,1.1539,29.6499,2021,12.52437638,552.1985142
Tooro,Kitagwenda District,1,1,2,5922,4203,10125,8784,4813,13597,2106,1828,3934,3068,2454,5522,1,1,2,5733,4071,9804,8349,4579,12928,2987,2386,5373,2029,1788,3817,31924,1,1,2,5670,4035,9705,37794,91168,128962,2974,2375,5349,2007,1772,3779,321,764,1085,19881,13299,33180,4382,2455,6837,677,171493.666,253.31413,0,0,2021,186.1526478,253.31413
Acholi,Kitgum District,36,24,60,26680,14109,40789,24974,8931,33905,12018,9612,21630,15799,15589,31388,31,17,48,25760,13561,39321,23195,8455,31650,15022,14859,29881,11539,9161,20700,121600,25,17,42,25331,13445,38776,178798,387878,566676,14999,14819,29818,11461,9150,20611,1041,1691,2732,79507,48265,127772,26012,15613,41625,4391,228365.371,52.00759985,3.3397,33.1689,2021,532.4800317,52.00759986
West Nile,Koboko District,186,74,260,22003,11099,33102,28895,9770,38665,13137,9513,22650,18046,15741,33787,49,47,96,19629,9821,29450,24202,8160,32362,15850,13462,29312,11600,8315,19915,111135,29,29,58,20446,10181,30627,159824,390412,550236,16775,14475,31250,12067,8762,20829,987,2294,3281,82267,46197,128464,22764,15815,38579,739,250280.0463,338.6739463,3.5237,31.0335,2021,444.0425901,338.6739463
Lango,Kole District,5,8,13,14158,5978,20136,19316,7020,26336,5803,4079,9882,10717,9706,20423,5,7,12,14142,5966,20108,19248,6992,26240,10696,9668,20364,5788,4063,9851,76575,5,7,12,14141,5966,20107,100668,241378,342046,10695,9667,20362,5787,4063,9850,1969,4340,6309,49999,26791,76790,14756,9714,24470,1073,276599.7132,257.7816526,2.3031,0,2021,276.8441048,257.7816526
Karamoja,Kotido District,25,31,56,7818,4804,12622,16944,8729,25673,6466,4903,11369,19011,17562,36573,24,30,54,7317,4452,11769,15600,7942,23542,18386,16996,35382,6114,4591,10705,81452,25,31,56,7347,4498,11845,115976,295038,411014,18451,17003,35454,6181,4619,10800,296,1041,1337,50264,36029,86293,27270,17593,44863,3610,207332.6229,57.43285953,3.0352,0,2021,392.8566516,57.43285953
Teso,Kumi District,6,20,26,21188,11214,32402,30958,15121,46079,10682,8527,19209,12691,11590,24281,6,11,17,21084,11113,32197,30402,14938,45340,12509,11491,24000,10608,8406,19014,120568,5,11,16,20957,11081,32038,150136,355083,505219,12493,11475,23968,10565,8405,18970,1117,2007,3124,75525,46472,121997,18965,11610,30575,1005,271752.9326,270.4009279,1.4877,33.9304,2021,443.6677052,270.400928
Lango,Kwania District,30,24,54,11987,5175,17162,14948,6577,21525,5160,3673,8833,6868,5846,12714,28,22,50,11563,5013,16576,14168,6357,20525,6564,5595,12159,5027,3597,8624,57934,28,22,50,11561,5011,16572,74810,180139,254949,6562,5594,12156,5026,3597,8623,599,1126,1725,38993,21295,60288,14555,5870,20425,1223,205705.1132,168.197149,1.9033,32.7633,2021,281.6361689,168.197149
Bugisu,Kween District,5,2,7,2220,2251,4471,4548,3411,7959,921,820,1741,811,715,1526,4,2,6,1909,2068,3977,3616,3011,6627,617,545,1162,792,747,1539,13311,4,2,6,1858,2027,3885,13184,37479,50663,595,524,1119,772,730,1502,22,83,105,8505,7199,15704,619,717,1336,851,117365.6123,137.9149381,1.4126,34.5528,2021,113.4148218,137.9149381
North Central,Kyankwanzi District,11,7,18,5878,3820,9698,10539,5337,15876,3353,2920,6273,4434,4304,8738,9,5,14,5270,3516,8786,8316,6388,14704,3997,3902,7899,3075,2686,5761,37164,9,5,14,5069,3380,8449,44246,117408,161654,3803,3715,7518,2986,2564,5550,1608,1067,2675,24215,16388,40603,4716,4311,9027,2455,257542.4177,104.9052618,1.2061,31.8164,2021,144.3024428,104.9052618
Tooro,Kyegegwa District,81,22,103,14159,10395,24554,24286,14256,38542,8638,7654,16292,10472,9456,19928,66,16,82,12885,9327,22212,21914,13057,34971,9343,8793,18136,7872,6955,14827,90228,66,16,82,13392,9972,23364,112818,293760,406578,9944,9045,18989,8255,7219,15474,750,2081,2831,57636,41783,99419,20334,9478,29812,1882,421566.5349,223.9992215,0.4818,31.055,2021,214.0302717,223.9992215
Tooro,Kyenjojo District,65,36,101,13877,9321,23198,19859,12487,32346,6223,5385,11608,8516,8008,16524,35,29,64,12936,8844,21780,17634,11359,28993,7909,7355,15264,5865,5070,10935,77036,31,28,59,12940,8876,21816,96148,231162,327310,7911,7347,15258,5901,5100,11001,415,856,1271,48540,35237,83777,8548,8044,16592,2352,504167.4637,214.3569148,0.6093,30.6401,2021,152.7984361,214.3569148
South Central,Kyotera District,12,8,20,13021,11211,24232,18309,11113,29422,6828,6342,13170,6042,5938,11980,12,8,20,13021,11211,24232,18309,11113,29422,6042,5938,11980,6828,6342,13170,78824,12,8,20,13021,11211,24232,98804,218616,317420,6042,5938,11980,6828,6342,13170,228,658,886,44212,34612,78824,8896,5946,14842,1723,264466.6076,153.4919371,0.6359,31.5456,2021,298.04897,153.4919371
Acholi,Lamwo District,25,22,47,43426,28582,72008,27793,10158,37951,19503,16514,36017,19376,18936,38312,24,18,42,42917,28293,71210,27235,10040,37275,19163,18763,37926,19308,16402,35710,182163,24,18,42,42097,28178,70275,287906,548070,835976,18988,18688,37676,19296,16364,35660,875,1932,2807,110123,74212,184335,27114,18958,46072,5588,185600.8488,33.21418196,3.491,32.808,2021,981.4771925,33.21418196
Lango,Lango,257,291,548,148392,69358,217750,196748,73721,270469,73764,56505,130269,98787,88889,187676,247,200,447,145903,68055,213958,190809,71438,262247,96838,87032,183870,72517,55505,128022,788544,245,199,444,144131,67317,211448,1047568,2400507,3448075,95831,85933,181764,71703,54798,126501,10429,20120,30549,517948,288764,806712,109455,89180,198635,12856,2389913.768,185.8987063,0,0,2021,329.9466326,185.8987063
Lango,Lira City,19,14,33,6822,3698,10520,13184,5863,19047,3738,3017,6755,5847,5631,11478,19,13,32,6538,3481,10019,12230,5458,17688,5526,5290,10816,3465,2806,6271,44826,19,13,32,6366,3404,9770,53778,139171,192949,5429,5139,10568,3402,2762,6164,367,1086,1453,29610,18223,47833,7135,5645,12780,285,233170.7844,818.1431032,2.2596,32.8903,2021,192.245354,818.1431032
Lango,Lira District,15,28,43,10541,5012,15553,16343,5506,21849,5711,4437,10148,8376,7319,15695,11,26,37,10236,4880,15116,15173,5265,20438,8108,7039,15147,5554,4304,9858,60596,11,26,37,9934,4819,14753,79590,188769,268359,7973,6847,14820,5496,4239,9735,538,1050,1588,40986,22302,63288,9907,7347,17254,1046,228884.2586,218.8186029,2.2316,32.9438,2021,264.7451615,218.8186029
Busoga,Luuka District,43,41,84,23881,12104,35985,40827,16571,57398,15656,11097,26753,24186,20372,44558,43,41,84,23872,12046,35918,40784,16544,57328,24151,20353,44504,15629,11074,26703,164537,43,41,84,23869,11965,35834,214250,517187,731437,24120,20333,44453,15610,10992,26602,2072,5165,7237,104593,60185,164778,31047,20413,51460,650,278988.6922,429.2133727,0.7251,33.3037,2021,589.7622542,429.2133726
North Central,Luwero District,160,115,275,22026,18714,40740,27776,17224,45000,12982,12529,25511,13311,12179,25490,78,92,170,20265,17405,37670,25287,15885,41172,11503,11223,22726,12097,11621,23718,125456,70,111,181,20161,17259,37420,168090,392576,560666,11417,11298,22715,12002,11622,23624,943,2760,3703,76255,60761,137016,18460,12294,30754,2216,563363.6111,254.2254563,0.8271,0,2021,222.6909895,254.2254563
South Central,Lwengo District,56,45,101,7796,6201,13997,11414,5963,17377,3749,3431,7180,4449,4176,8625,29,25,54,6784,5581,12365,8000,4418,12418,3412,3167,6579,3470,3147,6617,38033,29,19,48,6546,5479,12025,50538,128006,178544,3313,3112,6425,3351,3077,6428,174,580,754,27464,19816,47280,6232,4221,10453,988,305038.5061,308.7434273,0.4165,31.3999,2021,124.6826195,308.7434272
South Central,Lyantonde District,3,2,5,2994,2342,5336,5376,2935,8311,1401,1239,2640,1044,1044,2088,2,1,3,2986,2336,5322,4241,2926,7167,1036,1039,2075,1398,1233,2631,17198,1,0,1,2913,2300,5213,19840,48742,68582,1024,1034,2058,1383,1225,2608,72,218,290,10818,7562,18380,2070,1046,3116,887,119765.1758,135.0227461,0.2241,31.2168,2021,143.5976684,135.0227461
West Nile,Madi-Okollo District,7,6,13,23269,14584,37853,24377,8173,32550,13141,9941,23082,14773,14247,29020,7,6,13,22805,14503,37308,23787,7558,31345,14533,14034,28567,12948,9880,22828,120061,7,6,13,23147,14534,37681,178178,372250,550428,14661,14051,28712,13044,9879,22923,1016,1750,2766,75567,46951,122518,18412,14253,32665,2048,165727.4103,80.92158706,2.8218,31.2168,2021,724.4486581,80.92158706
Bugisu,Manafwa District,2,5,7,7828,4888,12716,11103,6863,17966,4271,3555,7826,8716,7557,16273,2,5,7,7150,4550,11700,9770,6255,16025,8286,7120,15406,4074,3337,7411,50549,1,5,6,7145,4550,11695,69036,167086,236122,8295,7030,15325,4056,3324,7380,677,1354,2031,31920,22868,54788,8038,7562,15600,237,174817.4815,737.6265042,0,0,2021,289.1530044,737.6265042
West Nile,Maracha District,141,145,286,29893,14789,44682,31336,8763,40099,18253,12694,30947,17323,15948,33271,141,144,285,28339,14017,42356,29445,8309,37754,16241,15010,31251,17309,12028,29337,140983,141,144,285,29077,14408,43485,208716,451061,659777,16946,15625,32571,17806,12370,30176,1576,4039,5615,96946,52339,149285,15767,16093,31860,440,218938.6415,497.5878216,3.2873,30.9403,2021,643.9384068,497.5878216
South Central,Masaka City,4,2,6,3215,2706,5921,8476,6190,14666,1802,1625,3427,2094,1986,4080,4,2,6,2641,2394,5035,5849,4206,10055,1656,1641,3297,1466,1390,2856,21249,4,2,6,2628,2370,4998,22314,71487,93801,1632,1621,3253,1455,1380,2835,130,422,552,15591,12509,28100,2007,1988,3995,340,266479.5522,783.7633889,0.3427,31.7369,2021,79.73970169,783.7633888
South Central,Masaka District,7,4,11,2127,1811,3938,3356,2209,5565,965,884,1849,935,837,1772,7,4,11,2127,1811,3938,3356,2186,5542,935,837,1772,965,882,1847,13110,7,4,11,2099,1794,3893,15046,35275,50321,913,826,1739,959,878,1837,69,172,241,7390,5745,13135,1371,841,2212,855,112732.1675,131.8504883,0.4464,31.9018,2021,116.2933375,131.8504883
Bunyoro,Masindi District,9,4,13,5380,3951,9331,10702,8003,18705,3159,2639,5798,4613,4238,8851,7,2,9,5121,3637,8758,9718,6619,16337,4395,3913,8308,2970,2467,5437,38849,7,2,9,5040,3597,8637,44782,124276,169058,4303,3856,8159,2889,2434,5323,189,567,756,23863,18835,42698,10404,4242,14646,3891,326287.688,83.85702596,1.6873,31.7138,2021,119.0636406,83.85702596
Busoga,Mayuge District,23,8,31,22512,11128,33640,45476,19484,64960,13037,9642,22679,19383,17071,36454,22,8,30,22435,11100,33535,45278,19356,64634,19315,17024,36339,13011,9615,22626,157164,22,8,30,22352,11046,33398,184786,474696,659482,19220,16950,36170,12919,9547,22466,1974,4450,6424,100431,57333,157764,29048,17079,46127,1075,544056.1362,506.0987313,0.3125,33.528,2021,288.8746023,506.0987313
Bugisu,Mbale City,30,26,56,8984,5621,14605,19555,10626,30181,5376,4412,9788,8045,7031,15076,30,26,56,8558,5410,13968,19002,10091,29093,7892,6903,14795,5199,4261,9460,67372,30,26,56,8459,5353,13812,76246,198003,274249,7785,6804,14589,5105,4213,9318,592,1161,1753,41990,27716,69706,7271,7057,14328,156,283060.0866,1814.487735,1.0871,34.1781,2021,238.0130693,1814.487735
Bugisu,Mbale District,163,122,285,12625,7827,20452,19500,9474,28974,7941,6264,14205,11412,10091,21503,154,120,274,12535,7778,20313,19171,9416,28587,11199,9926,21125,7847,6184,14031,84330,154,120,274,12351,7715,20066,110992,258059,369051,11119,9835,20954,7801,6160,13961,1509,1371,2880,51641,33778,85419,11631,10213,21844,360,268014.692,744.4852555,1.0344,34.1977,2021,314.6469299,744.4852556
Ankole,Mbarara City,9,6,15,950,792,1742,3326,2515,5841,457,400,857,554,591,1145,3,0,3,671,597,1268,2109,1913,4022,482,532,1014,374,341,715,7022,3,0,3,634,568,1202,5868,23563,29431,464,509,973,361,339,700,22,96,118,5296,4304,9600,781,597,1378,471,242834.7786,515.5727783,0.6121,0,2021,28.91678054,515.5727783
Ankole,Mbarara District,4,4,8,1233,1112,2345,2411,1671,4082,584,515,1099,627,546,1173,3,2,5,1145,1044,2189,2163,1504,3667,566,499,1065,537,481,1018,7944,1,2,3,1125,1022,2147,8466,22484,30950,554,485,1039,526,477,1003,35,111,146,4859,3848,8707,694,550,1244,773,165049.3489,213.5179158,0.6121,30.6373,2021,48.1310593,213.5179158
Ankole,Mitooma District,1,0,1,4084,3271,7355,7318,3811,11129,1995,1816,3811,1964,1707,3671,1,0,1,3798,3100,6898,6450,3471,9921,1721,1513,3234,1872,1713,3585,23639,1,0,1,3725,3028,6753,27146,68295,95441,1696,1478,3174,1848,1694,3542,47,239,286,15362,10605,25967,2357,1707,4064,544,212294.6585,390.247534,0.6193,30.0203,2021,111.3499518,390.247534
North Central,Mityana District,43,39,82,28324,12127,40451,25097,16601,41698,7404,6778,14182,8431,10480,18911,35,35,70,13102,10863,23965,23344,15351,38695,7770,7549,15319,6903,6329,13232,91281,35,39,74,13655,11306,24961,107172,303934,411106,7992,7817,15809,7145,6658,13803,410,1275,1685,69299,46025,115324,10692,10519,21211,1525,382075.1412,250.5410762,0.4016,32.044,2021,238.908503,250.5410762
Karamoja,Moroto District,24,14,38,6376,4283,10659,9307,5497,14804,4032,3576,7608,11351,11032,22383,22,14,36,5909,3832,9741,7822,4776,12598,10750,10422,21172,3831,3306,7137,50684,19,14,33,5932,3941,9873,76430,181333,257763,10717,10426,21143,3851,3452,7303,168,470,638,31090,24402,55492,12181,11046,23227,3533,103576.8565,29.31697043,2.7495,34.5971,2021,489.3371136,29.31697042
West Nile,Moyo District,22,14,36,21019,15406,36425,17886,7833,25719,14904,9689,24593,13673,13538,27211,21,14,35,20721,15190,35911,16805,7576,24381,13414,13269,26683,13776,9572,23348,110358,21,13,34,20362,14865,35227,170584,342616,513200,13073,12960,26033,11866,9848,21714,300,970,1270,67504,46480,113984,16614,13552,30166,1072,105294.2278,98.22222739,3.636,31.7651,2021,1048.091641,98.22222743
South Central,Mpigi District,12,11,23,3252,2735,5987,7646,5940,13586,1505,1416,2921,2056,1998,4054,7,11,18,3055,2619,5674,6936,5415,12351,1849,1826,3675,1408,1359,2767,24485,6,11,17,2936,2560,5496,23910,69656,93566,1755,1743,3498,1349,1311,2660,77,402,479,14471,12100,26571,3240,2009,5249,1204,301691.0112,250.5739296,0.2274,32.3249,2021,81.1591963,250.5739296
North Central,Mubende District,15,12,27,11312,8370,19682,19387,13274,32661,5413,4559,9972,5551,4932,10483,15,11,26,10799,9052,19851,18382,12301,30683,5213,4644,9857,4916,4223,9139,69556,15,11,26,10635,7038,17673,73390,199593,272983,5204,4665,9869,4922,4235,9157,429,1012,1441,41678,31147,72825,13009,4944,17953,2711,486520.626,179.4616842,0.449,31.3542,2021,142.9661895,179.4616842
North Central,Mukono District,54,40,94,17074,13330,30404,29460,17924,47384,10224,8865,19089,11246,10704,21950,37,21,58,16369,12766,29135,27539,16874,44413,10495,9993,20488,9809,8445,18254,112348,35,19,54,15943,12449,28392,134376,334732,469108,10305,9807,20112,9596,8282,17878,593,2443,3036,68058,50863,118921,14838,10744,25582,1831,813642.8462,444.3707516,0.2835,0,2021,138.0802406,444.3707516
Karamoja,Nabilatuk District,26,9,35,3504,1752,5256,6581,1884,8465,3497,2611,6108,13741,11422,25163,26,9,35,3468,1737,5205,6417,1826,8243,13703,11390,25093,3494,2597,6091,44667,24,8,32,3367,1681,5048,72528,162895,235423,13428,11139,24567,3422,2549,5971,218,658,876,27349,17678,45027,10013,11431,21444,1561,111111.9847,71.18000298,2.091,34.5971,2021,401.9998394,71.18000301
Karamoja,Nakapiripirit District,47,73,120,5823,4088,9911,10799,8246,19045,4774,4045,8819,14145,13535,27680,8,19,27,5423,3830,9253,8597,7123,15720,13187,12551,25738,4599,3910,8509,59247,7,20,27,5341,3790,9131,86810,213701,300511,12960,12319,25279,4553,3842,8395,325,624,949,35588,29987,65575,13305,13608,26913,2641,104074.8225,39.40735423,1.7013,34.5971,2021,569.2731304,39.40735422
North Central,Nakaseke District,3,3,6,7755,6197,13952,11730,9553,21283,4557,4209,8766,4633,4554,9187,2,2,4,7212,5962,13174,10169,7886,18055,4104,4066,8170,4305,3986,8291,47694,2,2,4,6962,5733,12695,58320,147101,205421,4026,3891,7917,4146,3853,7999,252,764,1016,28678,24516,53194,6849,4557,11406,3475,233797.356,67.27981469,1.2231,32.0837,2021,203.9971744,67.27981468
North Central,Nakasongola District,58,34,92,10300,7464,17764,13037,9234,22271,6829,5788,12617,8218,8088,16306,30,9,39,9607,6906,16513,11770,7957,19727,7370,7213,14583,6213,5395,11608,62470,48,9,57,9813,7154,16967,86430,211902,298332,7495,7439,14934,6467,5481,11948,354,1170,1524,38442,30608,69050,16990,8122,25112,3314,211762.967,63.89950725,1.349,32.4467,2021,294.9996446,63.89950724
