Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Karamoja,Nakapiripirit District,35,25,60,6079,4496,10575.0,10380,7485,17865,5035,4258,9293,13258,13250.0,26508,9,6,15,4732,3472,8204,7217,5743.0,12960,11235,11341,22576,4069,3557,7626,51381,7,4,11,4891,3553,8444,7802,5916,13718,11577,11568,23145,4184,3611,7795,480,665,1145,34787,29514,64301,13293,13275,26568,88281.0,111681.0,2641.0,101656.3411,38.49160964,1.7013,34.5971,2020,505.43821904288467,38.49160965543355
North Central,Nakaseke District,25,12,37,10614,9535,20149.0,16081,15866,31947,7304,6610,13914,6846,6510.0,13356,22,71,93,10007,9049,19056,14806,12714.0,27520,6174,5883,12057,6947,6239,13186,71912,22,7,29,9612,9139,18751,14840,13114,27954,9856,5623,15479,6686,6047,12733,185,685,870,40870,38533,79403,6871,6522,13393,197373.0,251398.0,3475.0,228208.6952,65.67156697,1.2231,32.0837,2020,315.115074546029,65.67156696402877
North Central,Nakasongola District,53,30,83,19669,15399,35068.0,21313,15301,36614,15438,13886,29324,16932,15985.0,32917,42,19,61,18593,14516,33109,19834,14122.0,33956,15786,14979,30765,14490,12987,27477,125368,41,17,58,18421,15120,33541,19662,13384,33046,15669,15944,31613,14394,12877,27271,466,1576,2042,73405,60601,134006,16985,16015,33000,181795.0,226074.0,3314.0,207196.8482,62.52168021,1.349,32.4467,2020,605.0671189698145,62.52168020519011
Busoga,Namayingo District,131,48,179,23459,14516,37975.0,39489,20646,60135,16534,13286,29820,23114,20501.0,43615,114,35,149,22846,13977,36823,38237,20041.0,58278,22513,19926,42439,16056,12831,28887,166576,110,33,143,22578,13848,36426,37840,19717,57557,22208,19629,41837,15895,12699,28594,1399,3138,4537,102727,68997,171724,23245,20549,43794,215443.0,266716.0,587.0,244885.12,417.1807836,0.3426,33.8411,2020,680.2209950527006,417.1807836456559
Bugisu,Namisindwa District,2,0,2,4940,2859,7799.0,10853,5721,16574,2522,1754,4276,3770,3367.0,7137,0,0,0,4294,2520,6814,8906,5015.0,13921,3257,2894,6151,2163,1578,3741,30627,0,0,0,3979,2382,6361,8414,4670,13084,3105,2780,5885,2016,1470,3486,456,517,973,22087,13701,35788,3772,3367,7139,204281.0,257346.0,298.0,234639.7804,787.3818133,0.9054,34.3754,2020,130.52773893578023,787.3818134228187
Busoga,Namutumba District,19,20,39,8098,5403,13501.0,15929,8730,24659,6800,5513,12313,9838,8937.0,18775,18,20,38,7680,5096,12776,14650,7946.0,22596,9238,8426,17664,6189,5039,11228,64302,19,20,39,7572,5028,12600,14492,7862,22354,9281,8349,17630,6159,4994,11153,410,1166,1576,40684,28603,69287,9857,8957,18814,252557.0,311339.0,812.0,286341.2258,352.6369775,0.8493,33.6623,2020,224.56424086454405,352.6369775862069
Karamoja,Napak District,143,123,266,7995,4561,12556.0,11243,4296,15539,7906,6130,14036,21839,19448.0,41287,72,40,112,6960,3828,10788,9240,3388.0,12628,19169,17081,36250,7033,5385,12418,72196,123,94,217,7416,4055,11471,10094,3879,13973,20525,18296,38821,7347,5650,12997,353,803,1156,49126,34558,83684,21982,19571,41553,142224.0,211830.0,4822.0,180626.5701,37.45884905,2.4265,34.331,2020,399.6975636531782,37.45884904603899
West Nile,Nebbi District,22,11,33,23765,13079,36844.0,31240,12355,43595,13397,11308,24705,21306,20937.0,42243,20,10,30,23238,13141,36379,31108,12176.0,43284,21259,20884,42143,13254,11231,24485,146321,20,9,29,23052,13018,36070,30906,12057,42963,21107,20722,41829,13121,11113,24234,1514,2979,4493,89730,57690,147420,21328,20948,42276,238757.0,299398.0,987.0,273483.9112,277.0860296,2.4104,31.2168,2020,535.0259887609799,277.08602958459977
Teso,Ngora District,7,14,21,18068,9328,27396.0,23049,8046,31095,8820,6363,15183,8655,7441.0,16096,5,7,12,17897,9294,27191,22837,7747.0,30584,8369,7286,15655,8684,6239,14923,88365,4,6,10,16765,8531,25296,21182,7318,28500,7861,6853,14714,8136,5777,13913,1521,3020,4541,58599,31192,89791,8662,7455,16117,141919.0,213777.0,640.0,181464.9711,283.5390173,1.4908,33.7518,2020,486.953484544985,283.53901734375
North Central,North Central,482,359,841,199780,152399,352179.0,286140,187226,473366,131859,114598,246457,142740,133948.0,276688,379,352,731,189596,148570,338166,264751,171739.0,436490,136091,126596,262687,125750,109519,235269,1273343,415,278,693,187434,144617,332051,260925,169809,430734,136674,125574,262248,124430,108064,232494,8642,21098,29740,761001,588530,1349531,143222,134307,277529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0.0,0.0
Tooro,Ntoroko District,11,0,11,970,665,1635.0,1349,918,2267,574,443,1017,512,548.0,1060,11,0,11,946,656,1602,1336,892.0,2228,502,536,1038,567,441,1008,5887,11,0,11,944,657,1601,1317,875,2192,498,534,1032,564,440,1004,50,85,135,3416,2574,5990,523,548,1071,67005.0,114858.0,1236.0,92584.78757,74.90678606,1.0125,30.3897,2020,63.58495984612,74.90678605987056
Ankole,Ntungamo District,23,23,46,7371,6244,13615.0,12862,8564,21426,2968,2512,5480,2263,2141.0,4404,22,20,42,6831,5857,12688,11468,7491.0,18959,1962,1864,3826,2687,2298,4985,40500,22,20,42,6767,5827,12594,11703,7943,19646,1987,1933,3920,2630,2310,4940,142,517,659,25487,19484,44971,2286,2164,4450,483841.0,552786.0,1999.0,524101.3617,262.1817718,0.9807,30.2513,2020,77.27512836187313,262.1817717358679
Acholi,Nwoya District,30,38,68,20537,11737,32274.0,22689,8819,31508,12403,9686,22089,15861,14750.0,30611,27,36,63,19755,11378,31133,21053,8226.0,29279,15350,14313,29663,12078,9429,21507,111645,25,33,58,19673,11335,31008,20833,8106,28939,15247,14204,29451,12019,9360,21379,1003,2037,3040,71520,45030,116550,15891,14788,30679,133506.0,220593.0,4679.0,180449.3616,38.56579644,2.6351,32.0028,2020,618.7054307650153,38.565796452233386
West Nile,Obongi District,15,23,38,27900,17780,45680.0,26519,9544,36063,14579,12838,27417,19878,19466.0,39344,6,10,16,22585,15203,37788,16026,5678.0,21704,15664,15268,30932,12771,11620,24391,114831,5,10,15,21970,14854,36824,15354,5433,20787,15276,14933,30209,12415,11291,23706,409,917,1326,88891,59651,148542,19893,19489,39382,43061.0,142983.0,837.0,88471.6827,105.7009351,3.4335,31.5827,2020,1297.940725162674,105.70093512544804
Acholi,Omoro District,12,7,19,35135,17696,52831.0,32071,10305,42376,16501,12523,29024,17472,15967.0,33439,9,6,15,34872,17606,52478,32076,10296.0,42372,17346,15839,33185,16283,12434,28717,156767,9,5,14,34662,17523,52185,31508,10227,41735,17230,15705,32935,16480,12381,28861,1549,2836,4385,101191,56498,157689,17484,15974,33458,142875.0,207339.0,1483.0,178645.0953,120.4619658,2.7152,32.492,2020,877.5331880046305,120.46196581254213
Lango,Otuke District,5,14,19,8407,4530,12937.0,10232,3543,13775,4194,3409,7603,5235,4833.0,10068,2,2,4,8406,4530,12936,10232,3547.0,13779,5235,4833,10068,4194,3409,7603,44390,2,2,4,8406,4529,12935,10232,3545,13777,5234,4833,10067,4184,3409,7593,252,402,654,28073,16329,44402,5240,4847,10087,104254.0,161069.0,1549.0,135345.6394,87.37613907,2.5214,33.3486,2020,327.97510283142526,87.37613905745641
Lango,Oyam District,111,101,212,47484,21277,68761.0,58336,22338,80674,21414,15366,36780,23436,21213.0,44649,110,99,209,46799,20762,67561,54394,21878.0,76272,23144,20977,44121,20971,15020,35991,224154,110,99,209,46516,20656,67172,54063,21872,75935,23016,21139,44155,20850,14940,35790,4581,8602,13183,150781,80295,231076,23547,21314,44861,383644.0,477464.0,2196.0,437457.3758,199.2064553,2.2776,32.4467,2020,512.4019216502601,199.2064552823315
Acholi,Pader District,22,20,42,55716,30917,86633.0,45450,16975,62425,24776,19237,44013,24930,23090.0,48020,19,97,116,54124,30080,84204,42651,15904.0,58555,24068,22320,46388,24003,18747,42750,232013,25,23,48,53669,29793,83462,43527,15703,59230,23916,22250,46166,23909,18598,42507,1403,2538,3941,150894,90239,241133,24952,23110,48062,178004.0,240159.0,3326.0,213044.9404,64.0544018,2.9431,32.8084,2020,1089.0331380993455,64.05440180396873
West Nile,Pakwach District,47,40,87,22182,11081,33263.0,23289,9377,32666,12733,9599,22332,14909,14627.0,29536,47,39,86,22180,11072,33252,23203,9365.0,32568,15094,14605,29699,12715,9587,22302,117907,47,39,86,21397,10686,32083,22517,9224,31741,14780,14276,29056,12244,9252,21496,894,2172,3066,73160,44724,117884,14956,14667,29623,158037.0,206961.0,877.0,185796.111,211.8541744,2.4738,31.3999,2020,634.6042409897374,211.85417445838084
Bukedi,Pallisa District,3,2,5,5855,3523,9378.0,8459,3573,12032,3865,3128,6993,6137,5840.0,11977,1,2,3,5783,3472,9255,8294,3498.0,11792,5899,5631,11530,3814,3106,6920,39500,1,2,3,5612,3373,8985,8019,3370,11389,5806,5510,11316,3717,3005,6722,369,558,927,24319,16066,40385,6140,5842,11982,275128.0,334697.0,796.0,309460.347,388.7692802,1.2009,33.7071,2020,127.64155531694016,388.7692801507538
South Central,Rakai District,4,1,5,20593,15703,36296.0,22016,12983,34999,10916,9323,20239,8376,7930.0,16306,4,1,5,20427,15643,36070,21748,12892.0,34640,8281,7854,16135,10838,9277,20115,106965,4,1,5,20166,15454,35620,21579,12761,34340,8238,7795,16033,10711,9181,19892,360,853,1213,61905,45940,107845,8380,7931,16311,276746.0,346885.0,1528.0,316915.772,207.4056099,0.7083,31.3542,2020,337.51870197233353,207.40560994764397
Kigezi,Rubanda District,1,0,1,159,256,415.0,673,1609,2282,53,42,95,64,67.0,131,1,0,1,149,251,400,654,1575.0,2229,51,53,104,47,36,83,2817,1,0,1,145,250,395,646,1548,2194,50,51,101,45,36,81,6,16,22,950,1974,2924,65,67,132,196896.0,249454.0,660.0,226928.4991,343.8310592,1.1517,29.8352,2020,12.413601690277957,343.8310592424242
Ankole,Rubirizi District,1,1,2,3738,3026,6764.0,5323,3353,8676,1871,1577,3448,1576,1479.0,3055,1,1,2,3664,2989,6653,5158,3273.0,8431,1531,1410,2941,1818,1550,3368,21395,2,1,3,3574,2902,6476,4969,3131,8100,1488,1380,2868,1762,1505,3267,70,193,263,12509,9436,21945,1577,1480,3057,129149.0,168211.0,1096.0,151338.3709,138.0824552,0.2642,30.1084,2020,141.3719460092325,138.08245520072992
Kigezi,Rukiga District,0,0,0,135,177,312.0,481,625,1106,44,100,144,63,58.0,121,0,0,0,121,141,262,453,589.0,1042,58,49,107,44,48,92,1503,0,0,0,108,127,235,399,547,946,50,41,91,41,43,84,4,10,14,723,960,1683,63,58,121,100726.0,132355.0,426.0,118659.0444,278.5423578,1.1326,30.0434,2020,12.666543941929808,278.54235774647884
Kigezi,Rukungiri District,15,5,20,8226,6970,15196.0,12978,9354,22332,3648,3161,6809,3991,3480.0,7471,10,2,12,7713,6617,14330,11561,8525.0,20086,3514,3033,6547,3444,2972,6416,47391,10,2,12,7494,6430,13924,11240,8340,19580,3385,2924,6309,3341,2908,6249,139,408,547,28858,22970,51828,4006,3485,7491,314694.0,376110.0,1381.0,350222.7174,253.6008091,0.7518,29.9278,2020,135.31675030056172,253.60080912382332
Ankole,Rwampara District,10,2,12,778,592,1370.0,2522,1661,4183,303,267,570,351,345.0,696,0,0,0,584,490,1074,1936,1355.0,3291,208,221,429,228,180,408,5202,0,0,0,552,466,1018,1813,1283,3096,182,204,386,219,167,386,2,15,17,3964,2867,6831,361,347,708,127725.0,162967.0,542.0,147832.5836,272.7538444,0.7476,30.482,2020,35.18845354198355,272.7538442804428
South Central,Sembabule District,22,19,41,8039,6576,14615.0,13132,9118,22250,4919,4397,9316,5315,4903.0,10218,21,24,45,7906,6478,14384,12855,8995.0,21850,5201,4815,10016,4820,4322,9142,55437,21,15,36,7867,6426,14293,12547,8677,21224,5125,4767,9892,4801,4302,9103,312,767,1079,31427,25013,56440,5337,4922,10259,252597.0,305971.0,2317.0,283386.681,122.3075878,0.0638,31.3542,2020,195.62316691940794,122.30758782908933
Teso,Serere District,7,12,19,10113,5025,15138.0,11007,3994,15001,4681,3931,8612,3748,3639.0,7387,3,8,11,9409,4836,14245,9283,3570.0,12853,3263,3240,6503,4469,3776,8245,41857,4,8,12,12209,4603,16812,8980,3320,12300,3184,3156,6340,4310,3618,7928,477,839,1316,29556,16601,46157,3755,3651,7406,285903.0,358123.0,1495.0,327270.4649,218.9100099,1.4994,33.549,2020,127.89727301786836,218.9100099665552
Ankole,Sheema District,0,0,0,596,578,1174.0,1552,1234,2786,256,226,482,285,298.0,583,0,0,0,398,438,836,1059,827.0,1886,158,184,342,157,135,292,3356,0,0,0,376,427,803,1022,800,1822,153,178,331,155,131,286,3,24,27,2689,2336,5025,285,298,583,207343.0,252275.0,327.0,233238.5217,713.2676504,0.5515,30.3897,2020,14.38870378503175,713.2676504587156
Bugisu,Sironko District,9,9,18,8466,5230,13696.0,19035,9616,28651,4219,3269,7488,5712,4811.0,10523,3,7,10,7559,4766,12325,15951,8198.0,24149,4838,4080,8918,3852,2975,6827,52229,9,9,18,7854,4979,12833,17315,8969,26284,5118,4303,9421,3989,3064,7053,362,1156,1518,37441,22935,60376,5721,4820,10541,242421.0,298363.0,383.0,274583.9034,716.9292517,1.2302,34.2491,2020,190.2114412144379,716.9292516971279
Teso,Soroti City,19,14,33,13316,6696,20012.0,25533,10317,35850,5652,4353,10005,6966,6365.0,13331,8,7,15,12772,6590,19362,23556,9750.0,33306,6564,6034,12598,5586,4182,9768,75049,10,6,16,12506,6419,18925,22839,9387,32226,6453,5896,12349,5421,4046,9467,357,939,1296,51486,27745,79231,6985,6379,13364,98501.0,134199.0,205.0,118583.9257,578.4581743,0.0,0.0,2020,632.8766698942231,578.4581741463415
Teso,Soroti District,37,31,68,18872,8274,27146.0,22764,7357,30121,9626,7046,16672,10124,9320.0,19444,31,28,59,18489,7997,26486,21831,7011.0,28842,9942,9182,19124,9345,6828,16173,90684,31,28,59,18309,7800,26109,21560,6912,28472,9767,8941,18708,9189,6790,15979,1316,2519,3835,61423,32028,93451,10161,9351,19512,198332.0,266189.0,1034.0,236630.7495,228.8498545,1.7229,33.528,2020,383.2299909948939,228.84985444874275
South Central,South Central,495,434,929,138263,117522,255785.0,211490,149101,360591,83222,75833,159055,80947,77642.0,158589,322,286,608,126121,107816,233937,184264,127859.0,312123,70252,66132,136384,75081,68606,143687,826739,328,290,618,124285,106149,230434,179438,126240,305678,69302,65626,134928,74092,67450,141542,3622,14205,17827,514417,420532,934949,81442,78076,159518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0.0,0.0
West Nile,Terego District,19,16,35,51247,31804,83051.0,56925,18635,75560,31344,24376,55720,36190,34894.0,71084,18,13,31,42149,26099,68248,45395,15017.0,60412,29788,28387,58175,25877,19063,44940,231806,17,15,32,46589,28860,75449,49620,16243,65863,40008,31893,71901,28828,21631,50459,1567,4516,6083,175725,109725,285450,36209,34910,71119,199303.0,323253.0,1200.0,266398.0692,221.998391,3.171,31.1252,2020,870.1489492627298,221.99839100000003
Teso,Teso,215,190,405,190836,98053,288889.0,235009,91547,326556,96129,71847,167976,102409,93878.0,196287,169,157,326,195000,92809,287809,227771,88821.0,316592,99847,91759,191606,94942,71083,166025,962358,168,155,323,185948,89686,275634,220700,86053,306753,97100,89258,186358,92229,68748,160977,10325,21674,31999,624598,355515,980113,102624,94068,196692,1819708.0,2462387.0,11650.0,2181797.639,187.2787673,1.7159,33.6111,2020,441.0849030165258,187.27876729613735
Tooro,Tooro,299,252,551,141688,98972,240660.0,213366,122470,335836,73619,60715,134334,81921,81978.0,163899,237,196,433,122426,92336,214762,183766,112322.0,296088,75343,68645,143988,68955,56984,125939,781210,223,240,463,123548,92411,215959,183074,111598,294672,73465,105061,178526,68346,56204,124550,4086,12468,16554,510893,364387,875280,82220,82230,164450,1587531.0,2154161.0,8383.0,1906583.285,227.4344846,0.3886,30.3436,2020,409.7434432296516,227.4344846713587
Bukedi,Tororo District,18,11,29,11929,7362,19291.0,19497,9473,28970,6395,4998,11393,8814,7682.0,16496,18,10,28,11354,6975,18329,18078,8802.0,26880,8294,7241,15535,6027,4745,10772,71544,16,23,39,11119,6761,17880,17696,8479,26175,8165,7095,15260,5940,4688,10628,452,851,1303,46653,29526,76179,8832,7693,16525,1881415.0,2372489.0,4504.0,2162302.077,480.0848305,0.3886,30.3436,2020,33.08695892262235,480.08483059502663
South Central,Wakiso District,331,308,639,37127,31791,68918.0,78427,60878,139305,25218,23359,48577,29497,28045.0,57542,180,172,352,27802,24049,51851,59129,40753.0,99882,21357,18955,40312,18385,17245,35630,228027,193,188,381,27808,23854,51662,56741,43767,100508,21132,19230,40362,18394,16974,35368,1091,6914,8005,170600,144381,314981,29828,28353,58181,1997418.0,3411177.0,1884.0,2753785.676,1461.669679,0.063,32.4467,2020,82.80491905645312,1461.6696794055201
West Nile,West Nile,350,291,641,428298,269007,697305.0,440819,174398,615217,254706,205959,460665,310779,298947.0,609726,303,242,545,401725,252654,654379,399665,158838.0,558503,297284,282397,579681,240980,193504,434484,2227592,287,235,522,398284,250939,649223,396757,157702,554459,296921,2122201,2419122,239877,284072,523949,14345,31525,45870,1434952,948602,2383554,311129,299238,610367,2296403.0,3316255.0,10757.0,2862911.96,266.1440885,0.0,0.0,2020,778.0860994412136,266.1440885005113
West Nile,Yumbe District,80,61,141,81956,51421,133377.0,78387,30203,108590,54359,45153,99512,74772,70076.0,144848,61,51,112,77993,49069,127062,73821,28523.0,102344,68979,68707,137686,51924,42768,94692,461896,57,38,95,77450,49220,126670,73503,28272,101775,68043,66283,134326,51584,43861,95445,2520,4706,7226,289554,196914,486468,74852,70137,144989,484822.0,945100.0,2323.0,723635.0354,311.50884,3.4698,31.2483,2020,638.2996640629486,311.50884003443826
West Nile,Zombo District,13,12,25,15694,10009,25703.0,17793,8929,26722,7823,6483,14306,11862,11658.0,23520,11,10,21,15361,9862,25223,17279,8666.0,25945,11876,11413,23289,7725,6488,14213,88691,11,10,21,14530,9424,23954,16571,8392,24963,10919,10805,21724,7305,6164,13469,492,905,1397,53185,37091,90276,11875,11670,23545,240081.0,312621.0,939.0,281289.8136,299.5631668,2.4882,30.8499,2020,315.3011439160057,299.56316677316295
Karamoja,Abim District,2,5,7,13939,6695,20634.0,15856,7109,22965,7006,5270,12276,15415,13468.0,28883,2,5,7,13652,6564,20216,15352,6805.0,22157,14961,13081,28042,6903,5160,12063,82485,2,4,6,13325,6427,19752,14997,6756,21753,14589,12773,27362,6710,5033,11743,674,1323,1997,52218,32547,84765,15417,13473,28890,107966.0,144084.0,2301.0,132134.7761,57.42493529,2.7067,33.6595,2021,624.2489860320732,57.42493528900478
Acholi,Acholi,368,310,678,246462,132169,378631.0,228667,82226,310893,112043,87522,199565,131628,124808.0,256436,234,190,424,235954,126860,362814,207769,73865.0,281634,124793,118285,243078,106957,83803,190760,1078710,225,189,414,235560,126902,362462,208626,73592,282218,126070,118347,244417,106912,83896,190808,8552,17185,25737,719168,427035,1146203,131996,125118,257114,1500762.0,2044355.0,28522.0,1863300.782,65.32854577,0.0,0.0,2021,578.9242458440616,65.32854575415469
West Nile,Adjumani District,24,15,39,63279,44827,108106.0,60259,26891,87150,37122,29949,67071,45284,42358.0,87642,12,13,25,61302,43442,104744,56951,25619.0,82570,43590,40939,84529,35920,29501,65421,337289,12,12,24,61216,43362,104578,56278,25400,81678,43501,40583,84084,35651,28580,64231,1226,3460,4686,205968,144040,350008,45308,42373,87681,107966.0,144084.0,2301.0,132134.7761,57.42493529,3.2549,31.7195,2021,2552.6133994031875,57.42493528900478
Acholi,Agago District,25,21,46,40202,20974,61176.0,38604,11565,50169,16133,12026,28159,18736,17591.0,36327,19,19,38,39030,20462,59492,36406,11134.0,47540,18095,17080,35175,15710,11723,27433,169678,18,19,37,38999,20410,59409,36706,11126,47832,18492,17124,35616,15620,11751,27371,1154,2459,3613,113700,62177,175877,18761,17612,36373,227792.0,307235.0,3493.0,280860.7314,80.40673672,2.9251,0.0,2021,604.1357193446376,80.40673673060407
Lango,Alebtong District,50,32,82,18176,8163,26339.0,24600,6883,31483,11431,8883,20314,15520,14135.0,29655,50,32,82,18108,8111,26219,24420,6816.0,31236,15491,14097,29588,11399,8848,20247,107372,49,32,81,17935,8038,25973,24143,6728,30871,15231,13818,29049,11292,8757,20049,1121,2262,3383,69777,38096,107873,15570,14167,29737,227541.0,283509.0,1534.0,265408.4183,173.0172218,2.2914,33.2139,2021,404.5538596241278,173.01722183833118
Lango,Amolatar District,3,5,8,13572,8032,21604.0,15140,6861,22001,7990,7019,15009,7601,7285.0,14886,3,5,8,13571,8032,21603,15040,6860.0,21900,7601,7275,14876,7990,7019,15009,73396,3,5,8,13364,7951,21315,14955,6829,21784,7536,7213,14749,7928,6953,14881,430,818,1248,44306,29202,73508,7604,7290,14894,147166.0,188715.0,1163.0,175148.6284,150.6007123,1.6054,32.8084,2021,419.0498131243145,150.60071229578674
Karamoja,Amudat District,11,3,14,2942,2409,5351.0,5239,2181,7420,2678,2342,5020,4487,4121.0,8608,10,1,11,2753,2321,5074,4664,2024.0,6688,4294,3925,8219,2608,2296,4904,24896,10,1,11,2722,2311,5033,4632,2022,6654,4181,3853,8034,2586,2266,4852,163,368,531,15357,11056,26413,4498,4124,8622,105769.0,203358.0,1616.0,167143.8505,103.4306006,1.7916,34.9066,2021,148.94954211911016,103.4306005569307
Teso,Amuria District,25,20,45,19750,8627,28377.0,19801,6933,26734,8714,6137,14851,7704,7397.0,15101,23,18,41,19463,8566,28029,19399,6857.0,26256,7575,7288,14863,8636,6107,14743,83932,23,18,41,19209,8450,27659,19117,6768,25885,7498,7200,14698,8536,6020,14556,728,1326,2054,55994,29114,85108,7729,7417,15146,183348.0,251653.0,1383.0,228846.53,165.471099,2.0302,33.6428,2021,366.7610778280099,165.47109906001447
Acholi,Amuru District,11,11,22,26380,13275,39655.0,24407,9129,33536,12013,9420,21433,14648,13927.0,28575,11,10,21,25422,12986,38408,22529,8402.0,30931,14178,13478,27656,11757,9150,20907,117923,10,10,20,25104,12815,37919,22111,8261,30372,13974,13297,27271,11640,9050,20690,768,1352,2120,77459,45762,123221,14659,13938,28597,186696.0,247574.0,3619.0,227475.1853,62.85581245,3.1042,32.0837,2021,518.3994018709345,62.855812462006085
Ankole,Ankole,109,81,190,76663,61300,137963.0,128784,80583,209367,36623,30960,67583,35235,32390.0,67625,85,58,143,72597,58828,131425,117923,73939.0,191862,32967,30226,63193,34958,29330,64288,450911,79,55,134,70604,57177,127781,115939,73544,189483,32654,30019,62673,34148,28677,62825,1298,4247,5545,277414,205314,482728,35344,32471,67815,2895631.0,3608968.0,15067.0,3378244.568,224.2148117,0.0,0.0,2021,133.47494265844404,224.2148117077056
Lango,Apac District,17,9,26,13082,6459,19541.0,17579,8662,26241,4359,3405,7764,5179,4642.0,9821,13,6,19,12835,6355,19190,16973,8257.0,25230,5038,4509,9547,4299,3363,7662,61648,13,6,19,12828,6348,19176,16933,8243,25176,5015,4489,9504,4293,3355,7648,706,1518,2224,40216,23177,63393,5196,4651,9847,185322.0,221962.0,1783.0,210267.9759,117.9293191,1.8445,32.4014,2021,293.1877749625496,117.92931906898485
West Nile,Arua City,31,74,105,12730,7367,20097.0,21367,11162,32529,6310,5169,11479,8427,8325.0,16752,32,35,67,11629,6730,18359,22033,9757.0,31790,7862,7764,15626,5851,4626,10477,76319,26,10,36,12263,7049,19312,20627,11006,31633,8110,7962,16072,6064,4811,10875,1576,3338,4914,48865,32097,80962,8458,8399,16857,309052.0,384656.0,404.0,360213.6992,891.6180672,3.0274,30.9071,2021,211.87145344415597,891.6180673267326
West Nile,Arua District,2,7,9,7842,4172,12014.0,7076,3080,10156,3554,2712,6266,2964,2858.0,5822,2,7,9,7709,4074,11783,6838,2988.0,9826,2900,2751,5651,3466,2640,6106,33375,2,7,9,7766,4139,11905,6963,3042,10005,2949,2825,5774,9424,2669,12093,337,548,885,21438,12829,34267,2966,2865,5831,133534.0,159722.0,800.0,151367.5827,189.2094783,3.0018,30.9876,2021,220.48974691065075,189.209478375
Bukedi,Budaka District,13,5,18,11742,4857,16599.0,16516,3826,20342,10501,7745,18246,15551,13566.0,29117,13,5,18,11693,4828,16521,16379,3765.0,20144,15500,13487,28987,10417,7722,18139,83809,13,5,18,11493,4743,16236,16128,3712,19840,15173,13222,28395,10284,7592,17876,776,1520,2296,54323,29999,84322,15564,13571,29135,207597.0,281537.0,410.0,256945.5833,626.6965447,1.1005,34.0196,2021,326.1741218651257,626.6965446341463
Bugisu,Bududa District,0,1,1,3119,2037,5156.0,4818,2994,7812,1123,1069,2192,1410,1377.0,2787,0,1,1,3072,2025,5097,4797,2959.0,7756,1380,1343,2723,1109,1055,2164,17741,0,1,1,2999,1975,4974,4602,2848,7450,1334,1307,2641,1081,1031,2112,294,414,708,10470,7478,17948,1410,1378,2788,210173.0,26897.0,318.0,49838.5923,156.725133,1.003,34.3338,2021,355.9691231487692,156.72513301886792
Busoga,Bugiri District,62,33,95,14633,7724,22357.0,24941,9901,34842,13380,10611,23991,18442,16720.0,35162,61,32,93,14590,7697,22287,24789,9830.0,34619,18402,16677,35079,13344,10582,23926,116004,61,32,93,14478,7644,22122,24823,9692,34515,18143,16414,34557,13238,10500,23738,1128,2339,3467,71458,44989,116447,18504,16753,35257,382913.0,480345.0,1033.0,448763.2922,434.4271947,0.5316,0.0,2021,258.49707856296897,434.4271947725073
