Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Bunyoro,Buliisa District,5,2,7,11935,7296,19231,13112,6268,19380,6658,5264,11922,10384,9400,19784,4,2,6,11032,6805,17837,12046,5854,17900,9473,8497,17970,6155,4913,11068,64781,4913,2,4915,4913,7124,12037,12876,6170,19046,2,9243,9245,6555,5186,11741,847,1836,2683,42094,28230,70324,6909,9402,16311,113161,167894,1367,1.040240696,161399.1845,118.0681672,1.8992,31.3542
Tooro,Bundibugyo District,10,13,23,16626,9503,26129,26143,12997,39140,8985,6872,15857,12080,11004,23084,8,13,21,16574,9473,26047,26046,12897,38943,12269,11010,23279,8995,6839,15834,104124,6839,13,6852,6839,9349,16188,25922,12931,38853,13,10865,10878,8842,6753,15595,560,1075,1635,63844,40389,104233,4497,11017,15514,224387,264778,850,1.016689692,260431.4787,306.389975,0.6852, 30.0203
Tooro,Bunyangabu District,11,3,14,4862,4506,9368,7114,5702,12816,2826,2353,5179,2473,2365,4838,14,2,16,4623,4361,8984,6027,5355,11382,2218,2112,4330,2475,2192,4667,29379,2192,2,2194,2192,4296,6488,5927,5275,11202,2,2073,2075,2423,2150,4573,175,406,581,17286,14929,32215,1186,2368,3554,170247,219012,466,1.025507508,213564.5017,458.2929222,0.4871,30.2051
Bunyoro,Bunyoro,222,192,414,101889,70228,172117,117091,60230,177321,52682,44366,97048,75758,69103,144861,187,172,359,108292,67413,175705,111028,56689,167717,70901,66348,137249,51719,42737,94456,575486,42737,175,42912,42737,67605,110342,111397,57343,168740,175,66815,66990,50636,42549,93185,7110,16982,24092,347642,244119,591761,58870,69295,128165,2028545,2792732,16580,1.032486689,2704860.052,163.1399307,,
Ankole,Bushenyi District,0,0,0,2940,2802,5742,4585,3575,8160,1111,1030,2141,1030,976,2006,0,0,0,2900,2766,5666,4513,3532,8045,1012,964,1976,1095,1011,2106,17793,1011,0,1011,1011,2668,3679,4388,3419,7807,0,941,941,1069,980,2049,36,264,300,9666,8383,18049,487,976,1463,234443,283392,845,1.019142779,278068.9869,329.0757241,0.4875,30.1127
Bukedi,Busia District,88,79,167,31125,20878,52003,48708,20927,69635,18649,15811,34460,27197,24543,51740,81,80,161,29937,20113,50050,46673,19829,66502,26224,23730,49954,17969,15310,33279,199946,15310,81,15391,15310,19816,35126,46082,19527,65609,81,23386,23467,18726,15087,33813,1793,3836,5629,125767,82238,208005,14011,24622,38633,323662,412671,729,1.024592621,402765.9302,552.490988,0.4045,34.0196
Busoga,Busoga,561,383,944,256302,151731,408033,430879,196457,627336,156983,124065,281048,228042,201641,429683,474,327,801,251694,148681,400375,415008,187668,602676,223857,198256,422113,154238,121657,275895,1701860,121657,306,121963,121657,145550,267207,406112,183608,589720,306,193615,193921,150530,118598,269128,26604,57301,83905,1072767,674277,1747044,195872,202024,397896,3583196,4363295,9443,1.019892507,4278191.054,453.0542257,,
Bukedi,Butaleja District,104,65,169,18554,11308,29862,26241,9293,35534,12976,10953,23929,17284,15227,32511,94,61,155,17902,11062,28964,25345,9051,34396,16866,14787,31653,12618,10663,23281,118449,10663,59,10722,10663,10463,21126,24067,8713,32780,59,13899,13958,11885,10109,21994,1022,2061,3083,75159,46846,122005,8449,15292,23741,244153,312771,655,1.025076887,305119.5515,465.8313763,,
South Central,Butambala District,8,9,17,8448,8590,17038,7575,5021,12596,4296,4439,8735,3006,3080,6086,6,9,15,8421,8528,16949,7503,4939,12442,2971,3032,6003,4259,4394,8653,44062,4394,9,4403,4394,8127,12521,7127,4749,11876,9,2885,2894,4040,4167,8207,132,525,657,23333,21139,44472,1344,3089,4433,10084,146516,405,1.306848434,112113.996,276.8246814,0.1742,32.1065
Bukedi,Butebo District,14,14,28,6967,3646,10613,8009,2987,10996,4012,2929,6941,5005,4520,9525,13,13,26,6908,3620,10528,7899,2969,10868,4983,4505,9488,3991,2912,6903,37813,2912,13,2925,2912,3460,6372,7426,2780,10206,13,4271,4284,3816,2800,6616,280,590,870,24007,14096,38103,6600,4534,11134,111762,171433,236,1.043710436,164253.4117,695.9890328,1.2393,33.83
