Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Ankole,Mitooma District,34,24,58,3737,3267,7004,7020,4408,11428,1969,1662,3631,1630,1341,2971,32,25,57,3485,3043,6528,6441,4090,10531,1472,1201,2673,1779,1490,3269,23058,1490,24,1514,1490,2879,4369,6207,3979,10186,24,1148,1172,1701,1423,3124,80,273,353,14390,10702,25092,1437,1365,2802,183444,226009,544,1.021085766,221341.8378,406.8783782,0.6193,30.0203
North Central,Mityana District,22,20,42,20320,16881,37201,27811,19989,47800,11642,10328,21970,10999,10190,21189,23,27,50,18498,15604,34102,24608,15599,40207,10051,9435,19486,10714,9540,20254,114099,9540,19,9559,9540,16391,25931,26253,16329,42582,19,9810,9829,11287,10063,21350,567,1841,2408,70794,57408,128202,6059,10210,16269,328964,407386,1525,1.021611499,398768.0252,261.4872296,0.4016,32.044
Karamoja,Moroto District,26,21,47,4900,3504,8404,5862,3540,9402,2868,2646,5514,6400,6354,12754,23,15,38,4861,3487,8348,5812,3431,9243,6372,6325,12697,2850,2635,5485,35811,2635,15,2650,2635,3426,6061,5698,3372,9070,15,6257,6272,2815,2602,5417,164,547,711,20056,16065,36121,6662,6375,13037,103432,103639,3533,1.000199951,103618.2814,29.32869555,2.7495,34.5971
West Nile,Moyo District,13,21,34,18161,14382,32543,14095,6347,20442,9906,8746,18652,9476,9607,19083,13,21,34,17904,14194,32098,13881,6257,20138,9402,9534,18936,9795,8661,18456,89662,8661,21,8682,8661,14063,22724,13698,6200,19898,21,9383,9404,9804,8593,18397,279,781,1060,51651,39103,90754,2970,9628,12598,95951,109572,1072,1.013362919,108127.1063,100.8648379,3.636,31.7651
South Central,Mpigi District,28,5,33,6226,5853,12079,10451,7786,18237,3410,4160,7570,3643,3667,7310,26,4,30,5975,5710,11685,9720,7158,16878,3431,3473,6904,3318,2971,6289,41786,2971,4,2975,2971,5646,8617,9684,7250,16934,4,3453,3457,3274,2920,6194,233,810,1043,23758,21471,45229,2615,3672,6287,250548,326690,1204,1.026891337,318134.9265,264.2316665,0.2274,32.3249
North Central,Mubende District,55,118,173,14507,10957,25464,23656,17958,41614,7372,6561,13933,7641,6979,14620,55,119,174,14202,10735,24937,22861,17433,40294,7408,6754,14162,7195,6336,13531,93098,6336,114,6450,6336,10753,17089,23090,17616,40706,114,6765,6879,7203,6324,13527,748,1879,2627,53231,42573,95804,7058,7097,14155,412804,522015,2711,1.023749985,509904.7692,188.0873365,0.449,31.3542
North Central,Mukono District,396,317,713,20385,17163,37548,31340,20295,51635,13211,11580,24791,12221,11206,23427,201,204,405,18744,16039,34783,28604,18419,47023,10960,10139,21099,11644,10156,21800,125110,10156,179,10335,10156,15882,26038,28309,18254,46563,179,10065,10244,11626,10186,21812,882,3172,4054,77553,60561,138114,11375,11523,22898,596804,929224,1831,1.045270922,888979.0962,485.5156178,0.2835, 32.7633
Karamoja,Nabilatuk District,24,20,44,3765,2167,5932,4929,1388,6317,2858,2138,4996,9852,8513,18365,24,20,44,3765,2167,5932,4929,1388,6317,9852,8510,18362,2858,2138,4996,35651,2138,20,2158,2138,2116,4254,4732,1363,6095,20,8063,8083,2800,2097,4897,203,523,726,21428,14226,35654,9641,8533,18174,68409,136785,1561,1.071747609,127627.9964,81.7604077,2.091,34.5971
Karamoja,Nakapiripirit District,30,32,62,5077,3297,8374,8025,7843,15868,3560,2892,6452,11757,10801,22558,13,14,27,4877,3228,8105,7335,7585,14920,11411,10422,21833,3486,2827,6313,51198,2827,13,2840,2827,3152,5979,7216,7499,14715,13,10331,10344,3440,2793,6233,244,698,942,28449,24865,53314,10477,10833,21310,88281,111681,2641,1.023790759,109085.7669,41.30472051,1.7013,34.5971
North Central,Nakaseke District,18,12,30,11171,9479,20650,14657,12489,27146,6075,5496,11571,5681,5811,11492,16,11,27,10528,8932,19460,13282,11727,25009,5200,5249,10449,5700,5314,11014,65959,5314,11,5325,5314,8486,13800,12880,12219,25099,11,5136,5147,5453,4981,10434,363,822,1185,37602,33287,70889,4696,5823,10519,197373,251398,3475,1.024489255,245388.6157,70.61542899,1.2231,32.0837
North Central,Nakasongola District,58,55,113,14807,11670,26477,15982,11315,27297,8444,7614,16058,9353,9146,18499,44,50,94,13631,10521,24152,14753,9764,24517,8781,8538,17319,7743,6876,14619,80701,6876,50,6926,6876,10895,17771,14499,10207,24706,50,8647,8697,7897,7105,15002,630,1421,2051,48644,39800,88444,8544,9201,17745,181795,226074,3314,1.022037588,221199.3009,66.74692243,1.349,32.4467
Busoga,Namayingo District,68,43,111,22387,13894,36281,36438,18179,54617,12545,10416,22961,19234,17713,36947,68,44,112,22322,13860,36182,36290,18125,54415,19212,17701,36913,12531,10406,22937,150559,10406,43,10449,10406,13828,24234,36236,18049,54285,43,17672,17715,12504,10375,22879,2710,5395,8105,90672,60245,150917,6093,17756,23849,215443,266716,587,1.021578321,261082.2827,444.7739058,0.3426,33.8411
Bugisu,Namisindwa District,40,27,67,4893,3194,8087,8167,4499,12666,2850,2294,5144,3353,2899,6252,40,27,67,4665,3109,7774,7469,4289,11758,3228,2810,6038,2776,2229,5005,30642,2229,27,2256,2229,3008,5237,7361,4258,11619,27,2728,2755,2691,2337,5028,788,1179,1967,19303,12913,32216,3462,2926,6388,204281,257346,298,1.023361195,251471.3293,843.8635212,0.9054,34.3754
Busoga,Namutumba District,11,5,16,14539,8833,23372,25639,11957,37596,9281,7377,16658,12635,11320,23955,11,5,16,14278,8741,23019,24969,11826,36795,12316,11073,23389,9149,7279,16428,99647,7279,5,7284,7279,8731,16010,24940,11819,36759,5,11033,11038,9137,7250,16387,796,2203,2999,62105,39492,101597,9727,11325,21052,252557,311339,812,1.021144992,304892.06,375.4828325,0.8493,33.6623
Karamoja,Napak District,32,33,65,7929,4459,12388,11392,3653,15045,5523,4232,9755,13212,11910,25122,32,33,65,7851,4429,12280,11256,3606,14862,13125,11859,24984,5494,4207,9701,61892,4207,33,4240,4207,4429,8636,11250,3606,14856,33,11859,11892,5494,4207,9701,392,1123,1515,38088,24287,62375,13889,11943,25832,142224,211830,4822,1.040642258,203556.9844,42.21422324,2.4265,34.331
West Nile,Nebbi District,21,13,34,27049,14404,41453,35080,12025,47105,13751,12204,25955,21396,20570,41966,20,12,32,25088,13517,38605,32796,11365,44161,20255,19447,39702,12985,11631,24616,147116,11631,13,11644,11631,14158,25789,34334,11758,46092,13,20358,20371,14216,12038,26254,1571,2834,4405,97297,59216,156513,7654,20583,28237,238757,299398,987,1.022890813,292697.9069,296.5530971,2.4104,31.2168
Teso,Ngora District,20,17,37,14329,9094,23423,20310,9050,29360,6908,5302,12210,5896,5048,10944,20,17,37,14326,9083,23409,20297,9049,29346,5894,5013,10907,6893,5265,12158,75857,5265,12,5277,5265,8780,14045,19674,8778,28452,12,4872,4884,6677,4986,11663,1906,3791,5697,47463,28511,75974,4427,5065,9492,141919,213777,640,1.041818448,205196.0208,320.6187825,1.4908,33.7518
North Central,North Central,835,719,1554,168829,136942,305771,233946,155704,389650,99031,87686,186717,105527,99721,205248,632,568,1200,160350,130764,291114,215609,143406,359015,100012,94205,194217,93793,83141,176934,1022480,83141,520,83661,83141,130019,213160,213252,143751,357003,520,93227,93747,93439,82702,176141,7983,21194,29177,608168,480772,1088940,94045,100440,194485,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
Tooro,Ntoroko District,2,0,2,1713,1100,2813,2420,1208,3628,870,723,1593,1151,1081,2232,2,1,3,1660,1068,2728,2339,1166,3505,1095,1036,2131,847,688,1535,9902,688,1,689,688,940,1628,2022,1065,3087,1,956,957,778,604,1382,58,100,158,6156,4112,10268,650,1081,1731,67005,114858,1236,1.055371602,108831.8085,88.05162497,1.0125,30.3897
Ankole,Ntungamo District,38,27,65,13432,12529,25961,17651,11587,29238,5070,4584,9654,4282,3947,8229,24,16,40,13191,12252,25443,17232,11271,28503,4187,3889,8076,5000,4522,9522,71584,4522,16,4538,4522,11885,16407,16718,11012,27730,16,3734,3750,4848,4389,9237,142,582,724,40473,32674,73147,2051,3974,6025,483841,552786,1999,1.013410587,545470.9151,272.8718935,0.9807,30.2513
Acholi,Nwoya District,33,21,54,16095,8696,24791,21939,7887,29826,8989,7502,16491,14327,13977,28304,33,20,53,15727,8593,24320,21323,7749,29072,14102,13672,27774,8909,7442,16351,97570,7442,20,7462,7442,8542,15984,21194,7689,28883,20,13589,13609,8828,7370,16198,878,2077,2955,61383,38083,99466,11580,13998,25578,133506,220593,4679,1.051499558,209788.9613,44.83628154,2.6351,32.0028
West Nile,Obongi District,8,2,10,23706,16850,40556,17861,6020,23881,10448,8810,19258,11868,11734,23602,5,2,7,22377,16187,38564,15554,5552,21106,11246,10987,22233,10094,8614,18708,100618,8614,2,8616,8614,16091,24705,15451,5470,20921,2,10861,10863,130128,8416,138544,395,752,1147,63891,43416,107307,3586,11736,15322,43061,142983,837,1.127509032,126813.1749,151.5091695,3.4335,31.5827
Acholi,Omoro District,21,28,49,25247,12919,38166,25774,6379,32153,11501,8754,20255,15868,13988,29856,21,27,48,24983,12726,37709,25224,6306,31530,15741,13849,29590,11451,8698,20149,119026,8698,27,8725,8698,12657,21355,24942,6254,31196,27,13746,13773,11329,8588,19917,1256,2502,3758,78411,42068,120479,13987,14016,28003,142875,207339,1483,1.037940541,199759.9975,134.6999309,2.7152,32.492
Lango,Otuke District,8,6,14,13187,6655,19842,14776,4158,18934,6429,4757,11186,8206,7383,15589,8,6,14,13060,6590,19650,14695,4129,18824,8178,7360,15538,6390,4728,11118,65144,4728,6,4734,4728,6463,11191,14463,4052,18515,6,7224,7230,6287,4643,10930,692,1548,2240,42606,22959,65565,8179,7389,15568,104254,161069,1549,1.044460267,154212.6637,99.55627096,2.5214,33.3486
Lango,Oyam District,204,164,368,33006,15470,48476,42465,15475,57940,12285,9425,21710,18125,16617,34742,202,157,359,32940,15424,48364,42379,15454,57833,18054,16600,34654,12285,9414,21699,162909,9414,156,9570,9414,15217,24631,41383,15191,56574,156,16331,16487,12030,9249,21279,4517,7918,12435,106085,57151,163236,19063,16781,35844,383644,477464,2196,1.022118437,467131.7753,212.7193876,2.2776,32.4467
Acholi,Pader District,31,32,63,51563,29072,80635,45767,13503,59270,21811,16554,38365,24310,22430,46740,30,31,61,51524,29022,80546,45654,13393,59047,24276,22402,46678,21798,16541,38339,224671,16541,29,16570,16541,28667,45208,45054,13209,58263,29,22043,22072,21557,16327,37884,1026,2257,3283,143482,81591,225073,18454,22462,40916,178004,240159,3326,1.030402516,233072.9945,70.07606571,2.9431,32.8084
West Nile,Pakwach District,84,82,166,21415,10882,32297,18352,6315,24667,10424,8672,19096,13882,12883,26765,84,82,166,21268,10759,32027,18014,5573,23587,13756,12762,26518,10353,8628,18981,101279,8628,82,8710,8628,10607,19235,17813,5984,23797,82,12628,12710,10217,8507,18724,1060,1756,2816,64157,38834,102991,2796,12965,15761,158037,206961,877,1.027337104,201453.8355,229.7079082,2.4738,31.3999
Bukedi,Pallisa District,9,11,20,14216,6927,21143,18297,5871,24168,6849,5319,12168,9356,8067,17423,9,11,20,14126,6846,20972,18220,5778,23998,9311,8014,17325,6792,5269,12061,74376,5269,11,5280,5269,6833,12102,18059,5739,23798,11,7979,7990,6779,5257,12036,1380,2910,4290,48727,26195,74922,9081,8078,17159,275128,334697,796,1.01979224,328201.1639,412.3130199,1.2009,33.7071
South Central,Rakai District,1,3,4,20292,16119,36411,19236,10790,30026,9272,8199,17471,6897,6561,13458,0,3,3,19472,15390,34862,18531,10179,28710,6683,6364,13047,8794,7875,16669,93291,7875,3,7878,7875,16089,23964,19168,10559,29727,3,6544,6547,9239,8162,17401,386,997,1383,55698,41672,97370,2444,6564,9008,276746,346885,1528,1.02284639,339136.945,221.9482624,0.7083,31.3542
Kigezi,Rubanda District,1,0,1,226,347,573,755,1573,2328,87,61,148,75,78,153,1,0,1,210,344,554,725,1555,2280,69,71,140,69,57,126,3101,57,0,57,57,342,399,721,1550,2271,0,70,70,68,56,124,1,16,17,1144,2059,3203,73,78,151,196896,249454,660,1.023942002,243621.2204,369.1230612,1.1517,29.8352
Ankole,Rubirizi District,23,18,41,4247,3723,7970,5542,3366,8908,1843,1705,3548,1626,1459,3085,23,18,41,4241,3717,7958,5508,3356,8864,1617,1453,3070,1839,1699,3538,23471,1699,17,1716,1699,3616,5315,5357,3236,8593,17,1418,1435,1797,1659,3456,39,133,172,13281,10271,23552,2202,1477,3679,129149,168211,1096,1.026777479,163824.2009,149.4746358,0.2642,30.1084
Kigezi,Rukiga District,0,1,1,1117,1145,2262,1386,1040,2426,469,421,890,477,352,829,0,1,1,1117,1150,2267,1373,1045,2418,476,352,828,469,421,890,6404,421,1,422,421,1133,1554,1361,1020,2381,1,348,349,467,415,882,2,38,40,3449,2959,6408,165,353,518,100726,132355,426,1.027684666,128789.5056,302.322783,1.1326,30.0434
Kigezi,Rukungiri District,4,2,6,8202,7639,15841,10948,8135,19083,3245,2999,6244,2984,2797,5781,2,2,4,8139,7582,15721,10843,8057,18900,2931,2747,5678,3191,2969,6160,46463,2969,2,2971,2969,7497,10466,10678,7932,18610,2,2720,2722,3172,2925,6097,180,498,678,25383,21572,46955,987,2799,3786,314694,376110,1381,1.017987961,369464.0944,267.5337396,0.7518,29.9278
Ankole,Rwampara District,0,0,0,965,918,1883,2061,1378,3439,436,417,853,373,301,674,0,0,0,786,756,1542,1622,1039,2661,263,224,487,324,304,628,5318,304,0,304,304,756,1060,1613,1033,2646,0,224,224,320,304,624,13,88,101,3835,3014,6849,494,301,795,127725,162967,542,1.024666118,159044.0019,293.4391178,0.7476,30.482
South Central,Sembabule District,10,6,16,9770,7734,17504,14744,9529,24273,5401,4638,10039,5271,4614,9885,9,6,15,9538,7573,17111,14335,9260,23595,5145,4483,9628,5268,4549,9817,60166,4549,7,4556,4549,7531,12080,14301,9212,23513,7,4485,4492,5246,4531,9777,400,1196,1596,35196,26521,61717,2922,4620,7542,252597,305971,2317,1.019354414,300161.5492,129.5474964,0.0638,31.3542
Teso,Serere District,42,3106,3148,31178,16526,47704,26898,7753,34651,12831,10090,22921,11560,10674,22234,42,26,68,31003,16628,47631,26871,7747,34618,11534,10667,22201,12926,10084,23010,127528,10084,25,10109,10084,15804,25888,25813,7435,33248,25,10259,10284,12137,9638,21775,1364,2883,4247,82509,48149,130658,10414,13780,24194,285903,358123,1495,1.022777935,350147.3661,234.212285,1.4994,33.549
Ankole,Sheema District,1,0,1,858,1003,1861,1718,1382,3100,382,379,761,347,374,721,1,0,1,834,976,1810,1674,1345,3019,337,354,691,370,355,725,6246,355,0,355,355,954,1309,1629,1350,2979,0,342,342,362,348,710,4,30,34,3306,3138,6444,236,374,610,207343,252275,327,1.019808162,247374.9567,756.4983385,0.5515,30.3897
Bugisu,Sironko District,9,8,17,8924,5803,14727,16181,8862,25043,3799,3055,6854,4508,3973,8481,5,7,12,8557,5554,14111,15011,8282,23293,4163,3683,7846,3613,2918,6531,51793,2918,7,2925,2918,5096,8014,13762,7770,21532,7,3221,3228,3107,2618,5725,749,1720,2469,33421,21701,55122,4035,3981,8016,242421,298363,383,1.020980559,292231.8131,763.0073449,1.2302,34.2491
Teso,Soroti City,71,62,133,15748,6432,22180,31688,9537,41225,4857,3951,8808,7087,6422,13509,31,33,64,13397,6110,19507,23238,8813,32051,5824,5242,11066,4444,3550,7994,70682,3550,69,3619,3550,5844,9394,21768,8253,30021,69,4967,5036,4151,3467,7618,1111,3378,4489,59451,26404,85855,5637,6484,12121,98501,134199,205,1.031408875,130112.3185,634.6942365,,
Teso,Soroti District,48,59,107,18991,8631,27622,19700,5153,24853,6885,5038,11923,8007,7204,15211,47,58,105,18941,8615,27556,19597,5134,24731,8005,7188,15193,6871,5029,11900,79485,5029,52,5081,5029,8296,13325,18832,4967,23799,52,6894,6946,6644,4865,11509,1249,2887,4136,53631,26085,79716,8012,7263,15275,198332,266189,1034,1.029863654,258470.1372,249.9711192,1.7229,33.528
South Central,South Central,801,667,1468,149324,127802,277126,212368,137587,349955,84671,79359,164030,81933,77697,159630,466,423,889,136249,117763,254012,183006,118824,301830,69921,68478,138399,75011,68984,143995,839125,68984,433,69417,68984,116696,185680,182426,120760,303186,433,66294,66727,74281,68283,142564,3831,13883,17714,529097,423112,952209,53610,78364,131974,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
West Nile,Terego District,34,19,53,45449,28770,74219,42071,13913,55984,23725,19233,42958,25193,24079,49272,31,15,46,42802,26960,69762,37220,12603,49823,23621,22461,46082,22563,18349,40912,206625,18349,15,18364,18349,26732,45081,36667,12388,49055,15,22381,22396,22222,18054,40276,1616,4228,5844,136472,86014,222486,16318,24098,40416,199303,323253,1200,1.049549371,307992.1811,256.6601509,3.171,31.1252
Teso,Teso,372,3418,3790,237960,130105,368065,271266,99204,370470,104170,77695,181865,101330,92917,194247,323,302,625,233985,128489,362474,259674,96600,356274,99210,90917,190127,98418,76732,175150,1084650,76732,325,77057,76732,126098,202830,254905,94843,349748,325,89099,89424,96347,75223,171570,13945,32226,46171,715098,403339,1118437,93402,96335,189737,1819708,2462387,11650,1.030707558,2389025.851,205.0665966,1.7159,33.6111
Tooro,Tooro,1439,1094,2533,133527,100104,233631,186288,112720,299008,69194,56746,125940,76228,70959,147187,1228,920,2148,123907,94115,218022,170255,103936,274191,70432,65511,135943,63285,55092,118377,748681,55092,977,56069,55092,95701,150793,173849,105297,279146,977,67616,68593,64978,53796,118774,4268,11571,15839,466676,341623,808299,44134,72053,116187,1587531,2154161,8383,1.03099271,2089404.687,249.2430737,0.3886,30.3436
Bukedi,Tororo District,79,65,144,34001,21197,55198,40527,16890,57417,19119,15442,34561,23371,22624,45995,73,64,137,30628,19000,49628,37024,15565,52589,21102,19316,40418,16976,13824,30800,173572,13824,57,13881,13824,20350,34174,38586,16165,54751,57,20174,20231,18267,15022,33289,1576,3374,4950,117097,76218,193315,8668,22689,31357,1881415,2372489,4504,1.023462561,2318100.427,514.6759385,0.3886,30.3436
South Central,Wakiso District,570,572,1142,48054,40393,88447,94413,62126,156539,31710,29779,61489,36336,33783,70119,327,327,654,36931,31960,68891,69081,46300,115381,25260,25465,50725,23194,21417,44611,280262,21417,337,21754,21417,32097,53514,69778,48856,118634,337,23826,24163,23063,21477,44540,997,4618,5615,211083,166653,377736,28700,34355,63055,1997418,3411177,1884,1.054978307,3233409.614,1716.247141,0.063,32.4467
West Nile,West Nile,376,315,691,375735,242149,617884,354786,134699,489485,193061,158329,351390,222196,213001,435197,407,295,702,363757,235296,599053,338185,129212,467397,216040,206716,422756,189211,154544,343755,1833663,154544,293,154837,154544,234851,389395,337550,129459,467009,293,206293,206586,308471,154016,462487,14272,31113,45385,1146154,748493,1894647,87562,213316,300878,2296403,3316255,10757,1.037432815,3196597.361,297.1643916,,
West Nile,Yumbe District,26,22,48,63719,41001,104720,60743,22221,82964,33137,26673,59810,44210,42013,86223,24,20,44,62641,40480,103121,58607,21666,80273,43448,41244,84692,32810,26259,59069,327199,26259,20,26279,26259,40413,66672,58553,21630,80183,20,41204,41224,32789,26235,59024,1657,3624,5281,201835,131930,333765,16688,42035,58723,484822,945100,2323,1.069029142,884073.1863,380.5739071,3.4698,31.2483
West Nile,Zombo District,13,12,25,15455,9598,25053,18260,8233,26493,7412,6262,13674,11811,11164,22975,13,12,25,15360,9534,24894,18061,8143,26204,11717,11068,22785,7376,6236,13612,87520,6236,12,6248,6236,9469,15705,18008,8121,26129,12,11010,11022,7343,6210,13553,445,852,1297,52951,35269,88220,4674,11176,15850,240081,312621,939,1.02675313,304475.3317,324.2548794,2.4882,30.8499
