dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+  (B/S &RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
KAPCHORWA,Kapchorwa,"123,800",123800.0,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,Bugisu,Kapchorwa District,4,3,7,913,830,1743,2017,1445,3462,478,424,902,429,399,828,4,3,7,853,800,1653,1860,1380,3240,405,376,781,456,411,867,6548,4,3,7,844,793,1637,1843,1371,3214,400,369,769,452,409,861,9,27,36,3841,3101,6942,433,402,835,105186.0,133621.0,212.0,1.024216287,124365.4325,586.6293984,1.3514,34.3754,52.65128636126441,KAPCHORWA,0.7273462850149517,1.1174379346127528,0.082,3,False,-0.7522316556685505,0.086,False,False
BUKEDEA,Bukedea,"259,300",259300.0,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Teso,Bukedea District,14,13,27,9429,4294,13723,15754,5672,21426,4005,2732,6737,5581,5020,10601,14,13,27,9421,4272,13693,15597,5648,21245,5541,5008,10549,4002,2730,6732,52246,14,13,27,9302,4227,13529,15558,5607,21165,5385,4890,10275,3910,2687,6597,1050,2468,3518,34783,17731,52514,5595,5033,10628,203600.0,282864.0,1032.0,1.033427444,256293.5679,248.3464805,1.3557,34.1087,203.85217010356348,BUKEDEA,-0.02640911955505356,-0.18672619276027377,0.356,2,False,0.05553061480471259,0.347,False,False
KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,15,1,16,3603,3102,6705,8163,6148,14311,2020,1790,3810,2409,2254,4663,1,1,2,3059,2682,5741,6902,5153,12055,1997,1745,3742,1780,1590,3370,24910,1,1,2,2970,2580,5550,6760,5180,11940,1860,1663,3523,1634,1472,3106,44,211,255,16210,13295,29505,2424,2255,4679,196749.0,230368.0,1184.0,1.015900003,219719.8361,185.5741859,0.6833,0.0,113.3716483779955,KABAROLE,0.29972740522992436,1.070232397200917,0.103,3,False,-0.3974839777637519,0.101,False,False
MASINDI,Masindi,"340,500",340500.0,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,Bunyoro,Masindi District,9,4,13,5380,3951,9331,10702,8003,18705,3159,2639,5798,4613,4238,8851,7,2,9,5121,3637,8758,9718,6619,16337,4395,3913,8308,2970,2467,5437,38849,7,2,9,5040,3597,8637,9759,6833,16592,4303,3856,8159,2889,2434,5323,189,567,756,23863,18835,42698,4622,4242,8864,291113.0,342635.0,3891.0,1.016428918,326287.688,83.85702596,1.6873,31.7138,119.06364055023737,MASINDI,0.22195244914839887,0.8122882971573179,0.181,3,False,-0.3034016041922859,0.191,False,False
KITAGWENDA,Kitagwenda,"178,300",178300.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,1,1,2,5922,4203,10125,8784,4813,13597,2106,1828,3934,3068,2454,5522,1,1,2,5733,4071,9804,8349,4579,12928,2987,2386,5373,2029,1788,3817,31924,1,1,2,5670,4035,9705,8385,4537,12922,2974,2375,5349,2007,1772,3779,321,764,1085,19881,13299,33180,3069,2455,5524,143786.0,184947.0,677.0,1.025493871,171493.666,253.31413,0.0,0.0,186.15264776018026,KITAGWENDA,0.06900001178668234,0.266639403413743,0.451,3,False,-0.13890788862372622,0.421,False,False
BUSIA,Busia,"384,000",384000.0,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,Bukedi,Busia District,37,23,60,26108,15751,41859,43824,19375,63199,16144,12730,28874,24129,22636,46765,31,19,50,25762,15670,41432,42438,19190,61628,23935,22395,46330,16159,12690,28849,178289,31,19,50,25602,15503,41105,42487,19036,61523,23915,22268,46183,16115,12642,28757,1175,2051,3226,110242,70515,180757,24166,22659,46825,323662.0,412671.0,729.0,1.024592621,383663.3188,526.2871315,0.4045,34.0196,464.70170919034445,BUSIA,-0.02741536607103273,-0.06570910219009762,0.478,4,False,-0.05531409528676425,0.472,False,False
KALANGALA,Kalangala,"67,200",67200.0,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,South Central,Kalangala District,11,81,92,1357,1224,2581,3597,3681,7278,876,787,1663,1089,1088,2177,10,4,14,1286,1210,2496,3475,3629,7104,1044,1070,2114,802,737,1539,13267,10,4,14,1259,1172,2431,3434,3573,7007,1047,1055,2102,794,736,1530,37,334,371,6930,6861,13791,1100,1169,2269,54293.0,74411.0,452.0,1.03202289,67696.95749,149.7720298,0.6351,32.5373,195.9763110766058,KALANGALA,0.2727302706335953,1.3002784868952968,0.046,3,True,-0.5761732136563541,0.049,False,True
NTUNGAMO,Ntungamo,"540,800",540800.0,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,Ankole,Ntungamo District,22,17,39,7628,6371,13999,13513,8239,21752,3056,2811,5867,2865,2566,5431,22,16,38,7221,6116,13337,12445,7683,20128,2624,2386,5010,2943,2707,5650,44163,22,16,38,7000,5924,12924,11980,7490,19470,2576,2345,4921,2849,2647,5496,121,458,579,27084,20004,47088,2887,2583,5470,483841.0,552786.0,1999.0,1.013410587,531129.8684,265.6977831,0.9807,30.2513,83.14915546557125,NTUNGAMO,0.747040313787477,2.1778650685894667,0.001,3,True,-0.8648281554729056,0.002,False,True
MBARARA,Mbarara,"390,700",390700.0,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,Ankole,Mbarara District,4,4,8,1233,1112,2345,2411,1671,4082,584,515,1099,627,546,1173,3,2,5,1145,1044,2189,2163,1504,3667,566,499,1065,537,481,1018,7944,1,2,3,1125,1022,2147,2097,1442,3539,554,485,1039,526,477,1003,35,111,146,4859,3848,8707,631,550,1181,145838.0,174039.0,773.0,1.017835486,165049.3489,213.5179158,0.6121,30.6373,48.131059304045515,MBARARA,0.6855932179861539,1.7526599564583278,0.007,3,True,-0.6984769919845225,0.007,False,True
MITOOMA,Mitooma,"194,300",194300.0,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,Ankole,Mitooma District,1,0,1,4084,3271,7355,7318,3811,11129,1995,1816,3811,1964,1707,3671,1,0,1,3798,3100,6898,6450,3471,9921,1721,1513,3234,1872,1713,3585,23639,1,0,1,3725,3028,6753,6328,3376,9704,1696,1478,3174,1848,1694,3542,47,239,286,15362,10605,25967,1965,1707,3672,183444.0,226009.0,544.0,1.021085766,212294.6585,390.247534,0.6193,30.0203,111.34995184063946,MITOOMA,0.7109131732024988,1.8523509890664422,0.002,3,True,-0.9265365117285143,0.004,False,True
