dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+  (B/S &RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
KASESE,Kasese,"793,200",793200.0,KASESE,KASESE,KASESE,KASESE,KASESE,KASESE,Tooro,Kasese District,112,70,182,32850,27984,60834,50210,32629,82839,14747,12983,27730,15789,14368,30157,99,58,157,31062,26771,57833,46013,31676,77689,14561,13197,27758,13940,12242,26182,189619,99,58,157,30287,26017,56304,46285,30180,76465,14055,12798,26853,13433,11841,25274,665,1236,1901,113708,88034,201742,15901,14438,30339,694987.0,853831.0,2795.0,1.020797326,802700.156,287.191469,0.1699,0.0,236.22643970185052,KASESE,0.1269383023221247,0.9721485588322432,0.134,3,False,-0.381164166924055,0.131,False,False
SHEEMA,Sheema,"220,500",220500.0,SHEEMA,SHEEMA,SHEEMA,SHEEMA,SHEEMA,SHEEMA,Ankole,Sheema District,1,0,1,312,321,633,751,569,1320,109,102,211,114,118,232,1,0,1,306,315,621,693,525,1218,105,106,211,105,97,202,2253,1,0,1,304,315,619,692,524,1216,105,106,211,104,96,200,3,16,19,1287,1110,2397,115,118,233,207343.0,252275.0,327.0,1.019808162,237858.5482,727.3961719,0.5515,30.3897,9.472016108101345,SHEEMA,1.0641613236104366,2.415048899432075,0.001,3,True,-0.9534397642410748,0.001,False,True
RUBIRIZI,Rubirizi,"144,100",144100.0,RUBIRIZI,RUBIRIZI,RUBIRIZI,RUBIRIZI,RUBIRIZI,RUBIRIZI,Ankole,Rubirizi District,4,5,9,3686,3037,6723,4826,3007,7833,1760,1521,3281,1579,1402,2981,4,4,8,3636,3009,6645,4665,2942,7607,1565,1389,2954,1748,1518,3266,20480,4,4,8,3586,2961,6547,4572,2896,7468,1540,1347,2887,1726,1493,3219,54,163,217,11855,8972,20827,1583,1407,2990,129149.0,168211.0,1096.0,1.026777479,155390.831,141.7799553,0.2642,30.1084,131.79670813395674,RUBIRIZI,0.39904398172922095,1.4592666306635214,0.034,3,True,-0.5746892569541455,0.027,False,True
BUTALEJA,Butaleja,"300,500",300500.0,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,Bukedi,Butaleja District,11,8,19,15273,8170,23443,23395,8194,31589,13478,10801,24279,18624,16937,35561,7,5,12,14360,7719,22079,20967,7443,28410,17197,15568,32765,12688,10430,23118,106384,8,6,14,14080,7690,21770,20223,8995,29218,16987,15517,32504,12793,10428,23221,578,1206,1784,70781,44110,114891,18635,16945,35580,244153.0,312771.0,655.0,1.025076887,290373.6171,443.3184994,0.0,0.0,366.369372887493,BUTALEJA,-0.007463885504729154,-0.15842889835627635,0.479,4,False,-0.060493459280805344,0.489,False,False
KIBAALE,Kibaale,"198,200",198200.0,KIBAALE,KIBAALE,KIBAALE,KIBAALE,KIBAALE,KIBAALE,Bunyoro,Kibaale District,25,19,44,4076,2685,6761,6224,3755,9979,1949,1596,3545,3287,3017,6304,14,8,22,3807,2450,6257,5692,3316,9008,3094,2853,5947,1788,1445,3233,24467,15,9,24,3777,2419,6196,5665,3328,8993,3047,2750,5797,1785,1428,3213,433,1168,1601,15561,11072,26633,3312,3036,6348,140947.0,237649.0,1153.0,1.053629727,203175.7842,176.2149039,0.8088,31.0335,120.42281562410724,KIBAALE,0.4389663887443689,1.375496039172028,0.033,3,True,-0.598370602986213,0.04,False,True
KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE,KIKUUBE,Bunyoro,Kikuube District,62,58,120,22353,12354,34707,29327,14253,43580,16077,9477,25554,22792,19192,41984,55,57,112,20465,11641,32106,27617,12844,40461,18931,17965,36896,10763,8887,19650,129225,67,58,125,21376,45502,66878,27586,13362,40948,19632,18604,38236,11310,9400,20710,1247,3321,4568,90611,55334,145945,22854,19250,42104,267455.0,379547.0,2098.0,1.035622516,341712.6926,162.8754493,1.2375,30.9876,378.16856908873274,KIKUUBE,-0.1177320891871641,-1.6559904537548495,0.012,4,True,-0.7211147411844416,0.008,False,True
LWENGO,Lwengo,"290,500",290500.0,LWENGO,LWENGO,LWENGO,LWENGO,LWENGO,LWENGO,South Central,Lwengo District,56,45,101,7796,6201,13997,11414,5963,17377,3749,3431,7180,4449,4176,8625,29,25,54,6784,5581,12365,8000,4418,12418,3412,3167,6579,3470,3147,6617,38033,29,19,48,6546,5479,12025,7822,4423,12245,3313,3112,6425,3351,3077,6428,174,580,754,27464,19816,47280,4505,4221,8726,262604.0,325263.0,988.0,1.021629283,305038.5061,308.7434273,0.4165,31.3999,124.68261953634057,LWENGO,0.41868470910405353,1.3363534890323663,0.037,3,True,-0.5824528271510108,0.043,False,True
AGAGO,Agago,"251,200",251200.0,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,Acholi,Agago District,25,21,46,40202,20974,61176,38604,11565,50169,16133,12026,28159,18736,17591,36327,19,19,38,39030,20462,59492,36406,11134,47540,18095,17080,35175,15710,11723,27433,169678,18,19,37,38999,20410,59409,36706,11126,47832,18492,17124,35616,15620,11751,27371,1154,2459,3613,113700,62177,175877,18761,17612,36373,227792.0,307235.0,3493.0,1.03037004,280860.7314,80.40673672,2.9251,0.0,604.1357193446376,AGAGO,0.7951966275028534,1.9412056005004692,0.042,1,True,0.8414241345380966,0.053,False,False
APAC,Apac,"226,600",226600.0,APAC,APAC,APAC,APAC,APAC,APAC,Lango,Apac District,17,9,26,13082,6459,19541,17579,8662,26241,4359,3405,7764,5179,4642,9821,13,6,19,12835,6355,19190,16973,8257,25230,5038,4509,9547,4299,3363,7662,61648,13,6,19,12828,6348,19176,16933,8243,25176,5015,4489,9504,4293,3355,7648,706,1518,2224,40216,23177,63393,5196,4651,9847,185322.0,221962.0,1783.0,1.018204859,210267.9759,117.9293191,1.8445,32.4014,293.1877749625496,APAC,0.01476675473486508,0.26930997276210195,0.428,3,False,-0.11010112871716932,0.449,False,False
PALLISA,Pallisa,"353,400",353400.0,PALLISA,PALLISA,PALLISA,PALLISA,PALLISA,PALLISA,Bukedi,Pallisa District,16,28,44,15672,8221,23893,23623,8194,31817,11992,9487,21479,15841,13689,29530,16,28,44,15605,8169,23774,23559,8061,31620,15814,13640,29454,11960,9471,21431,106323,16,28,44,15290,8002,23292,22636,7880,30516,15320,13357,28677,11616,9204,20820,1061,2089,3150,67144,39619,106763,15857,13717,29574,275128.0,334697.0,796.0,1.01979224,315585.2605,396.463895,1.2009,33.7071,336.90736960131255,PALLISA,0.003384325184226572,0.531053452350677,0.22,1,False,0.1867180356944881,0.23,False,False
LIRA,Lira,"478,500",478500.0,LIRA,LIRA,LIRA,LIRA,LIRA,LIRA,Lango,Lira District,15,28,43,10541,5012,15553,16343,5506,21849,5711,4437,10148,8376,7319,15695,11,26,37,10236,4880,15116,15173,5265,20438,8108,7039,15147,5554,4304,9858,60596,11,26,37,9934,4819,14753,15030,5230,20260,7973,6847,14820,5496,4239,9735,538,1050,1588,40986,22302,63288,8391,7347,15738,200561.0,242216.0,1046.0,1.01905033,228884.2586,218.8186029,2.2316,32.9438,264.7451614656387,LIRA,-0.09716066817420402,-1.214357194255828,0.094,2,False,0.411397685455607,0.119,False,False
KOTIDO,Kotido,"206,500",206500.0,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,Karamoja,Kotido District,25,31,56,7818,4804,12622,16944,8729,25673,6466,4903,11369,19011,17562,36573,24,30,54,7317,4452,11769,15600,7942,23542,18386,16996,35382,6114,4591,10705,81452,25,31,56,7347,4498,11845,15476,8134,23610,18451,17003,35454,6181,4619,10800,296,1041,1337,50264,36029,86293,19036,17593,36629,181050.0,219734.0,3610.0,1.019553156,207332.6229,57.43285953,3.0352,0.0,392.8566516002919,KOTIDO,0.1038202473306784,1.3476652425905273,0.075,1,False,0.48550885286171935,0.094,False,False
KALUNGU,Kalungu,"194,100",194100.0,KALUNGU,KALUNGU,KALUNGU,KALUNGU,KALUNGU,KALUNGU,South Central,Kalungu District,8,9,17,4178,3372,7550,5420,3180,8600,2069,1926,3995,2090,2178,4268,16,7,23,4016,3254,7270,5050,2972,8022,1904,1989,3893,2011,1860,3871,23079,16,7,23,3956,3214,7170,4827,2889,7716,1909,1976,3885,1944,1831,3775,138,395,533,13765,10665,24430,2098,2187,4285,174368.0,221569.0,790.0,1.024245869,206203.6432,261.0172699,0.0953,31.7651,111.923337734704,KALUNGU,0.09302998167982325,0.2828112794450542,0.432,3,False,-0.1265372363945713,0.458,False,False
NAPAK,Napak,"158,300",158300.0,NAPAK,NAPAK,NAPAK,NAPAK,NAPAK,NAPAK,Karamoja,Napak District,35,37,72,7550,3603,11153,13581,3849,17430,6745,4752,11497,23125,19060,42185,30,32,62,7074,3407,10481,12132,3413,15545,21747,18218,39965,6490,4505,10995,77048,35,35,70,7199,3449,10648,12528,3547,16075,21730,18234,39964,6477,4567,11044,646,994,1640,51036,31301,82337,23160,19097,42257,142224.0,211830.0,4822.0,1.040642258,187967.6418,38.98126127,2.4265,34.331,409.90033849538884,NAPAK,0.14275194291616003,1.335787823385807,0.068,1,False,0.5223783100876381,0.084,False,False
NAMUTUMBA,Namutumba,"306,500",306500.0,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,Busoga,Namutumba District,29,27,56,12745,7807,20552,23525,10523,34048,13122,10517,23639,18841,16925,35766,29,27,56,12647,7735,20382,23282,10345,33627,18600,16712,35312,13029,10337,23366,112743,25,27,52,12534,7611,20145,22814,10271,33085,18462,16566,35028,12832,10210,23042,893,2115,3008,68262,45799,114061,18870,16952,35822,252557.0,311339.0,812.0,1.021144992,292395.9086,360.0934835,0.8493,33.6623,385.5833706422799,NAMUTUMBA,0.05225187125264683,0.7122133276427128,0.166,1,False,0.27784270028805236,0.17,False,False
BUGIRI,Bugiri,"480,400",480400.0,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,Busoga,Bugiri District,62,33,95,14633,7724,22357,24941,9901,34842,13380,10611,23991,18442,16720,35162,61,32,93,14590,7697,22287,24789,9830,34619,18402,16677,35079,13344,10582,23926,116004,61,32,93,14478,7644,22122,24823,9692,34515,18143,16414,34557,13238,10500,23738,1128,2339,3467,71458,44989,116447,18504,16753,35257,382913.0,480345.0,1033.0,1.022928589,448763.2922,434.4271947,0.5316,0.0,258.49707856296897,BUGIRI,-0.03621838906905979,-0.4020480748819351,0.264,2,False,0.13896843019290508,0.266,False,False
OTUKE,Otuke,"133,500",133500.0,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,Lango,Otuke District,5,4,9,11539,5267,16806,14874,4189,19063,7039,5291,12330,8881,8049,16930,5,4,9,11527,5265,16792,14823,4179,19002,8870,8039,16909,7035,5286,12321,65033,5,4,9,11436,5212,16648,14742,4150,18892,8814,7994,16808,6991,5255,12246,497,898,1395,42338,22800,65138,8886,8053,16939,104254.0,161069.0,1549.0,1.044460267,141363.1427,91.26090558,2.5214,33.3486,460.0421210075432,OTUKE,0.28495960984368307,1.6253605000491818,0.059,1,False,0.6364062058148819,0.067,False,False
NEBBI,Nebbi,"282,600",282600.0,NEBBI,NEBBI,NEBBI,NEBBI,NEBBI,NEBBI,West Nile,Nebbi District,20,8,28,22101,12127,34228,31467,11625,43092,11444,9108,20552,18628,18146,36774,20,8,28,22060,12092,34152,31505,11587,43092,18546,18060,36606,11425,9070,20495,134373,20,8,28,21751,12082,33833,31441,11460,42901,18441,17847,36288,11272,8977,20249,1608,2865,4473,83660,51014,134674,18648,18154,36802,238757.0,299398.0,987.0,1.022890813,279744.1803,283.4287541,2.4104,31.2168,480.34243234621454,NEBBI,0.36235656208390893,1.173020725693961,0.071,1,False,0.6990886747252117,0.07,False,False
KAMPALA,Kampala,"1,680,600",1680600.0,KAMPALA,KAMPALA,KAMPALA,KAMPALA,KAMPALA,KAMPALA,Kampala,Kampala District,707,659,1366,23499,19083,42582,62017,52319,114336,16314,15567,31881,20008,19255,39263,263,228,491,15280,12683,27963,37183,32677,69860,12461,12077,24538,10551,9820,20371,143223,297,249,546,14883,12338,27221,36888,32950,69838,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,20715,19914,40629,1507080.0,1797722.0,195.0,1.017791039,1705087.479,8744.038353,0.3152,32.5816,83.99744984579762,KAMPALA,0.7019303321182877,1.198631049973387,0.056,3,False,-0.8157206355005484,0.048,False,True
PADER,Pader,"197,300",197300.0,PADER,PADER,PADER,PADER,PADER,PADER,Acholi,Pader District,68,42,110,43058,21629,64687,36633,11849,48482,20207,14763,34970,21495,20103,41598,52,36,88,41930,21130,63060,34369,11371,45740,20921,19479,40400,19178,14430,33608,182896,52,37,89,41825,21068,62893,34317,11274,45591,20918,19461,40379,19131,14451,33582,982,2064,3046,121461,68386,189847,21563,20145,41708,178004.0,240159.0,3326.0,1.030402516,219522.0426,66.00181678,2.9431,32.8084,833.1555129215986,PADER,1.5260129094438484,2.455316387941064,0.041,1,True,0.8902139883010367,0.049,True,False
ABIM,Abim,"153,500",153500.0,ABIM,ABIM,ABIM,ABIM,ABIM,ABIM,Karamoja,Abim District,2,5,7,13939,6695,20634,15856,7109,22965,7006,5270,12276,15415,13468,28883,2,5,7,13652,6564,20216,15352,6805,22157,14961,13081,28042,6903,5160,12063,82485,2,4,6,13325,6427,19752,14997,6756,21753,14589,12773,27362,6710,5033,11743,674,1323,1997,52218,32547,84765,15417,13473,28890,107966.0,144084.0,2301.0,1.029278437,132134.7761,57.42493529,2.7067,33.6595,624.2489860320732,ABIM,0.3958242561318354,0.907027087314952,0.134,1,False,0.3945812132262546,0.134,False,False
BUDUDA,Bududa,"271,100",271100.0,BUDUDA,BUDUDA,BUDUDA,BUDUDA,BUDUDA,BUDUDA,Bugisu,Bududa District,0,1,1,3119,2037,5156,4818,2994,7812,1123,1069,2192,1410,1377,2787,0,1,1,3072,2025,5097,4797,2959,7756,1380,1343,2723,1109,1055,2164,17741,0,1,1,2999,1975,4974,4602,2848,7450,1334,1307,2641,1081,1031,2112,294,414,708,10470,7478,17948,1410,1378,2788,210173.0,26897.0,318.0,0.814165494,49838.5923,156.725133,1.003,34.3338,355.9691231487692,BUDUDA,-0.03524505863648221,-0.9608291879299414,0.13,4,False,-0.41371407109639635,0.134,False,False
MANAFWA,Manafwa,"175,200",175200.0,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,Bugisu,Manafwa District,2,5,7,7828,4888,12716,11103,6863,17966,4271,3555,7826,8716,7557,16273,2,5,7,7150,4550,11700,9770,6255,16025,8286,7120,15406,4074,3337,7411,50549,1,5,6,7145,4550,11695,9763,6220,15983,8295,7030,15325,4056,3324,7380,677,1354,2031,31920,22868,54788,8718,7562,16280,149544.0,186917.0,237.0,1.022558071,174817.4815,737.6265042,0.0,0.0,289.15300441506474,MANAFWA,0.05432307087162651,0.7510575638202049,0.204,3,False,-0.36443485825529387,0.21,False,False
SIRONKO,Sironko,"274,300",274300.0,SIRONKO,SIRONKO,SIRONKO,SIRONKO,SIRONKO,SIRONKO,Bugisu,Sironko District,40,21,61,8147,4661,12808,18005,11796,29801,3831,2868,6699,5033,4116,9149,39,21,60,7774,4417,12191,16765,8982,25747,4607,3826,8433,3639,2702,6341,52772,40,21,61,7684,4395,12079,16643,8925,25568,4600,3773,8373,3605,2686,6291,459,1152,1611,35056,23462,58518,5073,4137,9210,242421.0,298363.0,383.0,1.020980559,280344.8273,731.9708284,1.2302,34.2491,188.2396065882397,SIRONKO,0.19231670444134474,0.8948978651020484,0.146,3,False,-0.385802028771752,0.161,False,False
KATAKWI,Katakwi,"194,600",194600.0,KATAKWI,KATAKWI,KATAKWI,KATAKWI,KATAKWI,KATAKWI,Teso,Katakwi District,7,4,11,26263,13275,39538,28535,12909,41444,13571,10264,23835,15045,13699,28744,7,4,11,26151,13261,39412,28499,12793,41292,15038,13693,28731,13558,10246,23804,133250,7,4,11,25727,13062,38789,27761,12598,40359,14454,13151,27605,13241,10396,23637,2186,4990,7176,83421,50151,133572,15052,13703,28755,166231.0,234332.0,2306.0,1.03493234,211395.4934,91.67193991,1.9142,33.9583,630.3351024984528,KATAKWI,0.22584246379900297,0.616200556649933,0.202,1,False,0.22410938358130017,0.198,False,False
KUMI,Kumi,"284,800",284800.0,KUMI,KUMI,KUMI,KUMI,KUMI,KUMI,Teso,Kumi District,6,20,26,21188,11214,32402,30958,15121,46079,10682,8527,19209,12691,11590,24281,6,11,17,21084,11113,32197,30402,14938,45340,12509,11491,24000,10608,8406,19014,120568,5,11,16,20957,11081,32038,30293,14851,45144,12493,11475,23968,10565,8405,18970,1117,2007,3124,75525,46472,121997,12697,11610,24307,239268.0,286992.0,1005.0,1.018353399,271752.9326,270.4009279,1.4877,33.9304,443.6677052441126,KUMI,0.13969935646627185,0.9078674510620618,0.133,1,False,0.35860851423026346,0.136,False,False
BULIISA,Buliisa,"149,300",149300.0,BULIISA,BULIISA,BULIISA,BULIISA,BULIISA,BULIISA,Bunyoro,Buliisa District,2,2,4,10155,5435,15590,11557,4807,16364,6937,5645,12582,10871,10341,21212,2,2,4,9343,5034,14377,10066,4236,14302,9937,9463,19400,6354,5187,11541,59624,1,2,3,9598,4994,14592,9930,4373,14303,9858,9252,19110,6376,5160,11536,873,1949,2822,39522,26230,65752,10873,10343,21216,113161.0,167894.0,1367.0,1.040240696,149153.5712,109.1101472,1.8992,31.3542,399.7490607854785,BULIISA,-0.044407075745333216,-0.38187339395656467,0.373,4,False,-0.18424787759947625,0.399,False,False
KAMWENGE,Kamwenge,"335,200",335200.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,Tooro,Kamwenge District,99,146,245,24444,15246,39690,32876,16030,48906,12581,9555,22136,16332,14914,31246,99,75,174,23487,14848,38335,31037,15421,46458,15914,14414,30328,12279,9292,21571,136866,95,80,175,22636,14382,37018,30157,15094,45251,15064,13762,28826,11809,8865,20674,713,2349,3062,86332,55891,142223,16431,15060,31491,270668.0,337167.0,1695.0,1.022211623,315662.2279,186.2314029,0.2903,30.574,433.58371038095305,KAMWENGE,-0.14160578691609685,-1.0781138485847495,0.101,4,False,-0.3935607762423308,0.109,False,False
LYANTONDE,Lyantonde,"110,500",110500.0,LYANTONDE,LYANTONDE,LYANTONDE,LYANTONDE,LYANTONDE,LYANTONDE,South Central,Lyantonde District,3,2,5,2994,2342,5336,5376,2935,8311,1401,1239,2640,1044,1044,2088,2,1,3,2986,2336,5322,4241,2926,7167,1036,1039,2075,1398,1233,2631,17198,1,0,1,2913,2300,5213,4139,2871,7010,1024,1034,2058,1383,1225,2608,72,218,290,10818,7562,18380,1047,1046,2093,93753.0,133017.0,887.0,1.035600371,119765.1758,135.0227461,0.2241,31.2168,143.59766839669265,LYANTONDE,0.3586990926914846,1.1140540468246134,0.07,3,False,-0.548797349236951,0.081,False,False
SSEMBABULE,Ssembabule,"296,100",296100.0,SSEMBABULE,SSEMBABULE,SSEMBABULE,SSEMBABULE,SSEMBABULE,SEMBABULE,South Central,Sembabule District,21,3,24,7986,6193,14179,12023,7905,19928,4128,3413,7541,4327,3752,8079,1,3,4,7768,6045,13813,11440,7565,19005,4220,3655,7875,4010,3341,7351,48048,1,3,4,7882,6107,13989,11509,7590,19099,4270,3654,7924,4043,3377,7420,244,704,948,28485,21266,49751,4348,3755,8103,252597.0,305971.0,2317.0,1.019354414,288871.4641,124.6747795,0.0638,31.3542,166.3300324581974,SEMBABULE,0.18769691768532293,0.9700055424553014,0.133,3,False,-0.32790574533626543,0.144,False,False
BUTAMBALA,Butambala,"107,800",107800.0,BUTAMBALA,BUTAMBALA,BUTAMBALA,BUTAMBALA,BUTAMBALA,BUTAMBALA,South Central,Butambala District,0,4,4,5122,4810,9932,5936,3672,9608,2420,2441,4861,2391,2220,4611,0,2,2,4634,4491,9125,5220,3323,8543,2121,1963,4084,2208,2262,4470,26224,0,2,2,4526,4399,8925,5147,3282,8429,2091,1933,4024,2157,2216,4373,101,367,468,15869,13147,29016,2391,2224,4615,10084.0,146516.0,405.0,1.306848434,65646.16932,162.089307,0.1742,32.1065,399.47494684980046,BUTAMBALA,-0.029957196647480443,-0.25558651244460245,0.451,4,False,-0.12423348229547125,0.453,False,False
KIRUHURA,Kiruhura,"185,700",185700.0,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,Ankole,Kiruhura District,0,0,0,4365,4222,8587,6052,4458,10510,2083,2089,4172,1694,1782,3476,0,0,0,4365,4222,8587,6052,4452,10504,1692,1776,3468,2083,2089,4172,26731,2,2,4,4361,4218,8579,6002,4422,10424,1681,1759,3440,2072,2079,4151,50,259,309,14194,12551,26745,1694,1782,3476,151023.0,203502.0,3003.0,1.03027357,186084.8451,61.96631537,0.322,30.8039,143.64952710488083,KIRUHURA,0.2766155562896094,1.1571191950819555,0.08,3,False,-0.42444781385578534,0.091,False,False
BUHWEJU,Buhweju,"144,100",144100.0,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,Ankole,Buhweju District,0,0,0,430,415,845,644,547,1191,299,169,468,202,161,363,0,0,0,428,412,840,642,543,1185,202,161,363,297,169,466,2854,0,0,0,421,406,827,630,532,1162,201,161,362,296,169,465,4,16,20,1575,1292,2867,202,161,363,12072.0,167921.0,751.0,1.301165617,76226.72766,101.5003031,0.3558,30.3897,37.44093558272524,BUHWEJU,0.7407990063148353,1.6626952740850114,0.009,3,True,-0.727487639288071,0.008,False,True
KAKUMIRO,Kakumiro,"473,400",473400.0,KIBAALE,KAKUMIRO,KAKUMIRO,KAKUMIRO,KAKUMIRO,KAKUMIRO,Bunyoro,Kakumiro District,6,6,12,9677,6061,15738,14353,6834,21187,5004,4025,9029,7309,6217,13526,5,4,9,9322,5839,15161,13726,6475,20201,7013,5986,12999,4840,3900,8740,57110,5,3,8,9219,5760,14979,13586,6460,20046,6930,5929,12859,4744,3815,8559,738,1881,2619,36349,23143,59492,7315,6223,13538,293108.0,428176.0,1701.0,1.038626657,382158.8542,224.6671688,1.0028,31.3084,149.44047317587965,KAKUMIRO,0.3217768627498318,1.1577173953295887,0.064,3,False,-0.5082468481819045,0.076,False,False
KABALE,Kabale,"248,700",248700.0,KABALE,KABALE,KABALE,KABALE,KABALE,KABALE,Kigezi,Kabale District,1,0,1,330,341,671,1220,1683,2903,120,75,195,184,169,353,1,0,1,297,320,617,1165,1620,2785,155,140,295,111,65,176,3874,1,0,1,290,306,596,1088,1532,2620,150,146,296,109,64,173,1,37,38,1855,2268,4123,185,169,354,230609.0,285588.0,561.0,1.021612905,267843.3353,477.4391003,1.3505,30.0203,14.463678910139379,KABALE,1.190855662072731,1.5751027723305475,0.003,3,True,-1.0822964090148017,0.001,False,True
AMUDAT,Amudat,"134,900",134900.0,AMUDAT,AMUDAT,AMUDAT,AMUDAT,AMUDAT,AMUDAT,Karamoja,Amudat District,11,3,14,2942,2409,5351,5239,2181,7420,2678,2342,5020,4487,4121,8608,10,1,11,2753,2321,5074,4664,2024,6688,4294,3925,8219,2608,2296,4904,24896,10,1,11,2722,2311,5033,4632,2022,6654,4181,3853,8034,2586,2266,4852,163,368,531,15357,11056,26413,4498,4124,8622,105769.0,203358.0,1616.0,1.067555067,167143.8505,103.4306006,1.7916,34.9066,148.94954211911016,AMUDAT,0.027806851742958275,0.09781242223472539,0.464,3,False,-0.04815538862315056,0.453,False,False
MAYUGE,Mayuge,"565,100",565100.0,MAYUGE,MAYUGE,MAYUGE,MAYUGE,MAYUGE,MAYUGE,Busoga,Mayuge District,23,8,31,22512,11128,33640,45476,19484,64960,13037,9642,22679,19383,17071,36454,22,8,30,22435,11100,33535,45278,19356,64634,19315,17024,36339,13011,9615,22626,157164,22,8,30,22352,11046,33398,44976,19281,64257,19220,16950,36170,12919,9547,22466,1974,4450,6424,100431,57333,157764,19406,17079,36485,473239.0,577563.0,1075.0,1.020121459,544056.1362,506.0987313,0.3125,33.528,288.8746023484332,MAYUGE,-0.05646829956720422,-1.1063634657233434,0.114,2,False,0.37410761942524245,0.126,False,False
NWOYA,Nwoya,"236,000",236000.0,NWOYA,NWOYA,NWOYA,NWOYA,NWOYA,NWOYA,Acholi,Nwoya District,25,26,51,12761,6471,19232,16007,6477,22484,6851,5249,12100,9834,9463,19297,18,24,42,12607,6415,19022,15584,6353,21937,9696,9294,18990,6788,5221,12009,72000,18,24,42,12354,6303,18657,15323,6203,21526,9489,9102,18591,6580,5086,11666,818,1527,2345,45478,27686,73164,9859,9489,19348,133506.0,220593.0,4679.0,1.051499558,189742.4238,40.5519179,2.6351,32.0028,379.461791190632,NWOYA,0.025925840119008406,0.44108525884741145,0.248,1,False,0.15599444893284267,0.249,False,False
OYAM,Oyam,"453,700",453700.0,OYAM,OYAM,OYAM,OYAM,OYAM,OYAM,Lango,Oyam District,99,157,256,28417,12863,41280,36733,15250,51983,11760,8638,20398,15483,13961,29444,99,76,175,28546,12809,41355,36402,15060,51462,15454,13932,29386,11797,8620,20417,142795,98,76,174,27964,12607,40571,35768,14856,50624,15234,13775,29009,11549,8475,20024,2786,4740,7526,92492,50869,143361,15582,14118,29700,383644.0,477464.0,2196.0,1.022118437,447133.2492,203.6125907,2.2776,32.4467,319.35670240467545,OYAM,0.0006034071247585021,0.028695752209325805,0.447,3,False,-0.014199260760781401,0.431,False,False
